NIE,G1-LEG1,G1-LEG2,G1-LEG3,G1-LEG4,G1-LEG5,G1-LEG6,G2-LEG7,G2-LEG8,G2-LEG9,G2-LEG10,G2-LEG11,G2-LEG12,G3-LEG13,G3-LEG14,G3-LEG15,G3-LEG16,G3-LEG17,G3-LEG18
10292988,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
10335450,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1
10364248,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0
10320515,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
10110292,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
10374827,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
10494468,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1
10333662,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1
10479452,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1
10333618,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1
10480361,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1
10524396,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1
10521292,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1
10480671,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1
10298325,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1
10505926,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1
10386584,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0
10524407,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
10535793,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1
10386621,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1
10524558,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
10324257,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10452830,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0
10350162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10350183,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10232685,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
10350213,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
10324214,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10692760,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0
10695325,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
10350235,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
10369392,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0
10337808,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0
10451757,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
10227969,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0
10369428,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10369490,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1
10369503,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
10369517,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
10002837,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0
