NIE,G1-LEG1,G1-LEG2,G1-LEG3,G1-LEG4,G1-LEG5,G1-LEG6,G2-LEG7,G2-LEG8,G2-LEG9,G2-LEG10,G2-LEG11,G2-LEG12,G3-LEG13,G3-LEG14,G3-LEG15,G3-LEG16,G3-LEG17,G3-LEG18,G4-LEG19,G4-LEG20,G4-LEG21,G4-LEG22,G4-LEG23,G4-LEG24
19976439,B,D,B,A,C,A,D,C,D,B,C,A,B,A,D,B,D,C,A,D,A,A,B,D
6878954,A,A,B,D,B,C,D,C,A,A,C,C,C,C,D,D,D,C,B,C,A,D,B,A
19741132,B,D,C,D,D,C,D,B,C,A,C,B,A,B,A,B,C,D,D,C,A,B,D,A
19887392,D,B,B,A,C,B,C,C,C,A,D,B,D,A,A,D,C,A,A,A,C,B,D,B
4656556,C,C,B,C,C,C,D,B,D,D,D,B,A,D,A,D,B,D,D,D,C,D,C,D
5583348,C,B,C,A,B,B,A,C,B,D,D,A,A,A,C,C,D,B,D,C,A,A,B,C
20003771,D,A,B,D,A,C,D,C,A,A,B,A,A,C,A,D,B,A,B,B,A,C,B,B
20121925,A,B,C,A,C,B,B,C,D,B,C,C,B,C,B,D,C,D,C,C,C,D,C,B
19761729,C,C,B,D,B,D,B,A,A,D,C,C,C,A,B,B,B,C,A,A,A,B,B,A
19989092,C,A,B,D,D,A,D,B,D,A,B,B,D,D,A,B,A,A,B,D,A,B,A,A
4032865,B,A,A,D,D,A,D,A,A,A,A,A,C,A,B,B,A,A,A,A,C,B,B,A
20120374,A,C,D,B,A,A,D,B,B,A,C,C,A,B,B,B,A,A,B,C,B,A,B,B
6729329,B,B,B,D,C,C,D,A,A,A,B,A,A,C,A,D,B,A,B,D,C,B,A,A
4657686,A,A,B,A,B,B,A,C,A,B,A,B,B,A,A,D,A,A,A,A,A,B,A,B
6875653,D,A,B,D,D,A,D,C,A,A,B,C,D,A,A,B,C,D,B,A,A,D,C,B
19749428,C,C,C,C,C,C,B,B,C,C,B,C,B,B,B,B,C,A,C,C,C,C,D,B
19914571,D,A,B,D,A,C,D,C,D,A,C,B,A,B,C,D,B,A,B,B,A,D,A,B
10284847,A,C,A,A,A,A,D,C,B,D,A,A,D,D,A,B,A,C,B,D,A,C,A,A
19806642,D,B,B,D,C,A,B,A,D,A,A,A,A,B,A,A,D,C,A,D,C,D,A,C
6536512,A,A,B,D,C,A,D,C,D,A,B,A,A,C,A,B,B,C,C,A,C,B,A,B
5750690,A,D,A,B,C,D,B,D,D,A,B,D,D,A,C,D,B,D,B,D,B,B,D,A
6049430,C,B,D,D,C,B,D,B,A,A,A,A,A,D,C,D,B,C,B,A,A,C,A,D
10265302,A,A,B,B,B,A,B,A,A,A,A,C,A,C,A,B,B,B,B,D,A,A,B,A
20143766,A,C,B,D,D,A,D,B,A,C,B,A,C,A,A,B,A,B,A,A,A,B,A,A
19810380,B,C,B,D,C,C,D,C,A,A,B,C,A,C,B,D,D,C,A,A,C,D,A,C
4658349,A,A,D,B,D,D,B,C,A,C,A,B,D,D,A,A,B,C,C,D,A,B,B,B
19819276,B,D,B,A,A,A,A,A,D,B,A,B,A,C,C,A,D,A,D,D,D,C,A,A
6871251,A,B,C,A,B,C,B,C,B,C,B,C,D,B,B,C,C,C,A,C,D,B,C,C
10831070,B,C,B,D,D,A,D,B,A,A,C,D,C,D,A,A,C,A,B,A,A,D,B,C
19886894,A,D,B,A,A,A,D,C,B,A,A,A,C,B,A,C,A,A,A,D,B,B,B,A
19729227,A,D,B,A,A,C,C,B,A,B,D,A,D,A,D,B,D,C,C,B,A,B,B,A
4659784,B,B,B,D,A,C,D,C,A,A,C,B,A,C,D,B,B,A,A,D,B,B,D,C
20152141,B,C,A,B,A,A,D,C,A,A,C,B,C,C,A,B,A,A,A,B,D,B,C,D
20102925,A,A,B,D,D,D,A,C,A,A,A,D,A,C,D,B,A,A,B,A,D,A,C,A
