NIE,G1-LEG1,G1-LEG2,G1-LEG3,G1-LEG4,G1-LEG5,G1-LEG6,G2-LEG7,G2-LEG8,G2-LEG9,G2-LEG10,G2-LEG11,G2-LEG12,G3-LEG13,G3-LEG14,G3-LEG15,G3-LEG16,G3-LEG17,G3-LEG18,G4-LEG19,G4-LEG20,G4-LEG21,G4-LEG22,G4-LEG23,G4-LEG24
6652322,C,A,A,A,A,B,C,A,A,B,B,A,A,B,A,B,B,C,C,D,C,D,D,C
2557667,D,A,A,A,C,C,B,A,D,B,D,D,B,A,B,B,D,D,C,C,D,A,A,B
6299850,B,D,D,A,C,D,C,B,D,D,A,D,C,B,C,C,B,A,C,A,D,B,C,C
6657253,C,A,B,A,B,C,C,A,A,A,A,A,A,A,D,B,A,A,D,D,A,D,C,A
19858200,C,A,C,B,C,B,C,B,A,A,A,C,A,A,C,B,D,B,D,C,C,C,B,D
5867924,A,C,B,A,A,B,C,C,A,A,A,D,A,A,A,C,A,B,A,C,A,C,B,C
5205580,B,C,A,A,A,D,B,A,C,B,B,A,D,C,A,C,A,B,B,A,C,A,B,A
4236175,C,B,B,C,C,D,D,B,D,C,D,B,D,C,D,D,D,D,D,D,D,D,D,D
6403706,A,A,C,A,D,B,C,B,A,A,C,D,B,C,A,B,A,B,D,B,A,D,C,A
6863221,B,B,A,A,C,B,D,B,A,C,C,B,B,B,C,C,C,B,A,B,A,B,C,C
5012072,B,C,C,B,A,B,B,C,B,C,C,C,D,D,B,B,C,B,B,A,B,C,B,B
4966072,D,A,A,C,B,C,B,C,A,D,A,D,D,A,D,C,B,A,D,B,A,D,C,D
5484342,B,A,C,A,A,B,A,A,C,A,B,A,A,A,A,B,A,B,B,B,B,B,B,B
6440729,A,A,D,C,B,C,C,A,D,A,A,D,B,B,C,C,C,C,A,D,D,C,A,D
19828806,C,A,A,D,C,D,B,C,C,D,D,C,C,D,B,D,C,A,B,A,D,C,B,A
6954668,D,D,B,C,D,C,C,B,A,D,B,D,D,A,D,A,C,C,B,A,B,C,B,B
4117545,A,A,C,B,A,C,A,A,A,A,A,B,D,A,B,B,A,B,A,B,A,B,B,D
20009729,C,B,D,C,B,B,C,B,A,A,A,D,C,B,A,B,B,C,D,B,A,D,A,B
5615855,A,C,D,C,C,C,C,D,A,A,A,D,B,B,A,B,A,C,D,D,A,C,C,D
5070147,A,A,B,A,C,C,C,B,D,D,A,D,A,B,C,B,D,B,A,B,B,C,B,A
3166560,A,A,A,C,A,D,C,B,C,A,B,C,B,B,D,C,C,A,D,D,B,C,C,D
5019825,B,C,C,C,C,C,C,B,B,A,A,A,B,B,B,A,C,B,A,B,A,C,B,D
10178807,A,C,A,A,C,B,C,C,C,A,A,D,B,D,A,A,C,B,D,D,D,D,D,D
3635665,D,A,C,B,D,D,A,A,A,B,B,C,C,B,C,C,B,B,B,B,B,B,C,C
3009067,B,A,A,B,D,C,D,B,A,D,A,D,A,A,D,C,C,A,B,B,D,C,B,D
