NIE,G1-LEG1,G1-LEG2,G1-LEG3,G1-LEG4,G1-LEG5,G1-LEG6,G2-LEG7,G2-LEG8,G2-LEG9,G2-LEG10,G2-LEG11,G2-LEG12,G3-LEG13,G3-LEG14,G3-LEG15,G3-LEG16,G3-LEG17,G3-LEG18
10292988,B,B,C,C,A,B,C,A,B,B,A,C,B,A,A,C,B,A
10335450,B,B,B,B,B,B,C,B,B,B,B,B,A,B,A,B,B,A
10364248,B,B,C,C,A,B,C,A,B,C,B,A,B,A,A,C,B,B
10320515,B,C,B,A,A,C,C,B,C,A,C,C,A,C,B,C,C,B
10110292,B,B,C,C,A,B,C,A,B,C,A,C,B,A,A,C,B,A
10374827,B,B,C,C,B,B,C,C,C,B,C,C,C,C,C,C,C,C
10494468,B,B,C,C,A,C,C,A,A,C,A,C,B,B,A,A,B,A
10333662,B,B,C,C,A,C,C,A,C,C,A,C,B,B,C,A,B,A
10479452,B,B,C,B,C,A,C,A,C,C,A,C,B,B,A,A,B,A
10333618,B,B,C,B,A,C,C,A,C,C,A,C,B,B,A,A,B,A
10480361,B,B,B,C,A,C,C,A,C,C,A,A,B,A,A,A,B,A
10524396,B,B,C,C,A,C,C,A,C,C,A,C,B,B,A,A,B,A
10521292,B,B,C,C,A,C,C,A,C,C,A,C,B,B,A,A,B,A
10480671,B,B,C,C,A,C,C,A,C,C,A,C,B,B,B,A,B,A
10298325,B,B,B,C,A,C,C,A,A,C,C,C,B,B,A,A,B,A
10505926,C,C,A,C,A,A,A,B,A,C,C,B,B,B,B,A,A,A
10386584,B,C,C,C,A,B,C,B,A,C,A,C,C,A,A,C,A,B
10524407,B,B,C,C,A,A,C,A,B,C,A,C,B,A,A,C,B,A
10535793,B,B,B,A,B,C,C,C,B,C,B,A,C,A,B,C,B,A
10386621,B,C,A,A,A,B,C,C,C,C,A,A,B,B,A,C,B,A
10524558,C,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
10324257,B,B,C,C,A,B,C,A,B,C,A,C,B,B,A,C,B,A
10452830,C,C,B,B,B,B,C,A,A,C,B,A,C,B,C,C,A,B
10350162,B,B,C,C,A,B,C,A,B,C,A,C,B,B,A,C,B,A
10350183,B,B,C,C,A,B,C,A,B,C,A,C,B,B,A,C,B,A
10232685,B,B,A,B,C,C,A,A,A,C,B,A,C,C,B,A,B,C
10350213,A,A,A,A,B,A,B,A,A,B,A,B,A,A,A,A,A,A
10324214,C,B,A,A,C,C,A,A,C,B,C,A,C,C,B,A,C,A
10692760,A,A,C,B,A,C,C,A,B,A,B,B,C,A,A,B,C,C
10695325,B,B,C,A,B,B,B,B,C,B,B,B,B,B,B,B,B,B
10350235,B,A,C,C,A,B,C,A,B,C,A,C,B,B,A,A,B,A
