NIE,G1-LEG1,G1-LEG2,G1-LEG3,G1-LEG4,G1-LEG5,G1-LEG6,G2-LEG7,G2-LEG8,G2-LEG9,G2-LEG10,G2-LEG11,G2-LEG12,G3-LEG13,G3-LEG14,G3-LEG15,G3-LEG16,G3-LEG17,G3-LEG18,G4-LEG19,G4-LEG20,G4-LEG21,G4-LEG22,G4-LEG23,G4-LEG24
10074367,B,A,C,A,B,A,C,B,A,B,B,C,B,C,B,A,C,B,B,C,C,A,C,B
10032205,B,A,C,C,B,A,C,C,A,B,A,B,B,C,B,C,A,C,B,C,C,A,C,B
10069995,B,A,B,C,B,A,C,A,A,B,A,B,B,C,B,A,C,B,B,C,C,A,B,B
10075196,A,A,C,A,B,A,C,A,A,C,B,A,B,C,B,A,C,B,B,C,A,A,C,A
10184621,B,B,C,B,A,C,B,C,C,B,A,B,B,C,B,A,A,B,B,C,B,A,C,C
10334021,C,A,C,A,B,A,C,B,C,C,B,A,A,C,A,B,C,B,A,B,B,A,B,A
10049510,B,A,A,A,B,A,B,B,B,A,A,C,B,C,B,A,C,B,B,C,C,A,B,B
10301843,B,A,C,B,B,B,C,B,A,B,A,C,B,C,B,A,C,B,B,C,C,A,C,B
10452486,A,A,C,A,B,A,B,B,A,B,B,A,B,C,C,A,B,C,C,C,C,A,C,B
10301824,B,B,B,C,B,B,B,C,B,A,A,B,B,B,C,B,A,B,A,A,B,A,A,B
10195323,B,A,C,A,B,A,C,C,B,A,B,C,A,C,B,A,C,B,B,C,C,A,C,B
10541545,B,C,C,B,B,C,C,C,A,B,A,A,C,B,C,A,A,A,A,A,A,A,A,C
10630848,A,C,B,A,B,B,A,A,A,A,A,C,C,B,C,A,A,B,C,A,B,C,A,A
10651642,B,A,B,A,B,B,B,B,A,C,B,C,B,C,B,A,C,B,B,C,C,A,A,B
10334033,C,A,C,A,B,A,A,B,B,B,A,B,A,B,B,A,B,B,A,A,B,B,B,A
10324782,A,C,A,A,B,B,C,B,B,A,C,B,A,C,A,C,C,C,B,A,B,C,C,A
10354948,B,A,C,C,B,A,C,A,A,C,A,B,B,A,B,A,C,B,B,C,C,A,A,B
10473315,B,A,A,A,A,A,C,A,A,C,A,A,C,A,C,A,C,B,B,B,A,A,A,C
10326665,C,A,C,C,B,B,C,A,B,C,B,C,B,C,B,A,C,B,B,C,C,A,B,B
10473227,B,A,B,A,B,B,C,B,A,B,C,B,C,B,A,A,C,B,A,B,A,A,B,B
10326134,B,C,C,A,B,A,C,A,B,B,A,C,B,C,B,A,C,B,B,C,B,A,C,B
10078397,B,C,B,B,A,A,C,B,A,A,B,B,B,C,B,A,A,B,B,C,B,B,B,B
10079560,B,A,C,C,B,A,C,B,C,B,A,C,B,C,B,A,C,B,C,C,B,A,C,B
10081070,C,C,C,B,B,A,C,C,A,A,A,C,A,A,A,A,A,A,C,A,A,A,A,A
10078563,A,A,C,C,B,B,C,A,B,B,A,C,A,A,C,A,C,C,B,B,A,A,C,A
10080996,B,C,C,A,B,B,C,B,A,A,B,C,B,C,B,A,C,B,B,C,C,A,C,B
10079922,B,A,B,A,B,C,C,C,A,C,A,C,B,C,B,A,A,C,B,C,B,A,C,A
10325953,B,A,A,A,A,C,C,B,A,A,C,A,B,B,B,C,A,C,A,A,A,B,A,A
10325943,C,C,C,C,B,A,C,C,C,B,C,B,C,C,C,A,A,B,C,A,C,C,A,B
10326008,A,A,B,A,B,A,A,A,A,B,A,A,C,A,A,A,A,B,B,C,B,A,C,A
10476463,A,C,A,C,C,A,C,C,A,B,A,A,A,C,B,B,B,A,B,C,A,A,C,B
10477192,B,A,C,C,B,A,C,C,A,A,B,B,C,B,B,C,B,C,C,C,C,B,A,A
10326030,A,A,B,C,A,A,C,B,A,A,A,A,C,B,A,A,A,B,B,A,A,A,A,A
10326131,C,B,A,C,A,C,C,A,A,A,A,C,C,C,B,B,C,C,A,A,B,C,B,A
10319925,B,A,B,B,B,B,C,B,A,B,B,C,B,C,B,A,C,B,B,C,C,A,C,B
10407063,A,C,A,C,C,C,C,B,C,C,A,A,B,B,C,B,B,B,C,C,A,C,B,B
10386782,A,A,C,A,B,B,C,B,B,B,A,C,B,C,C,A,C,C,B,C,B,A,C,B
10476673,A,A,B,C,B,A,B,A,C,C,A,C,A,C,B,A,B,C,B,C,C,A,B,B
10305682,B,A,C,A,B,A,C,A,C,C,A,C,B,C,B,A,C,C,B,C,C,A,C,B
10475287,B,A,C,A,B,A,C,C,A,C,B,B,B,C,B,A,A,A,B,C,C,A,B,B
10477251,B,A,C,A,C,B,C,B,A,A,A,A,A,C,C,A,C,B,A,A,A,A,A,A
10193492,C,C,A,B,B,B,B,B,A,A,A,A,B,B,B,A,A,C,A,B,C,B,B,A
10473034,B,A,B,C,B,B,C,C,A,C,A,A,B,B,B,A,B,B,B,C,B,C,A,B
10331112,C,A,C,C,B,B,C,C,A,B,A,C,B,C,B,A,A,B,B,C,C,A,C,A
10473353,B,B,C,C,B,C,B,A,B,B,C,C,C,A,A,B,C,C,A,A,B,C,A,B
10079699,B,A,C,C,B,A,B,C,A,A,C,C,B,C,B,A,A,B,B,C,A,A,A,B
10193193,C,A,A,A,B,B,B,A,A,B,A,B,A,C,A,A,B,C,A,A,C,A,C,A
10616626,A,A,C,B,B,A,C,B,A,B,B,C,B,B,B,A,B,B,B,C,A,A,C,B
10476986,B,C,C,C,A,A,C,A,A,B,A,B,B,B,B,A,A,B,A,C,C,A,B,B
10326648,B,B,C,A,C,B,A,C,A,A,A,C,B,B,C,A,A,C,B,C,C,A,C,B
10326066,B,A,C,C,C,B,C,C,A,A,A,A,B,C,A,A,C,B,B,A,C,A,A,B
10473218,B,A,B,B,A,B,B,C,B,B,B,B,B,B,B,B,B,C,B,C,A,B,B,B
10079841,A,A,C,C,B,A,C,B,A,A,C,A,B,C,B,A,C,B,B,C,C,A,C,A
10608120,B,B,B,A,B,A,B,B,A,B,A,C,A,A,A,A,A,A,A,A,B,A,A,A
10034194,C,C,B,C,A,A,A,A,A,A,C,A,A,B,A,A,A,A,B,A,A,A,A,A
10193208,B,A,C,C,B,B,C,A,A,A,C,A,A,A,A,B,A,A,B,C,B,C,C,A
10325885,B,A,C,A,B,B,C,C,A,C,A,C,B,C,B,A,C,B,B,C,C,A,A,B
10294973,A,A,C,C,B,A,C,B,A,C,B,A,B,C,B,A,A,C,B,C,B,A,C,B
10526171,A,A,C,A,B,B,C,B,B,B,B,A,C,B,A,A,A,A,B,A,A,A,C,A
10642722,B,B,A,A,A,A,B,B,A,B,A,B,C,B,A,A,A,A,A,A,A,A,B,A
10473263,B,A,B,A,B,A,C,C,A,C,B,C,B,C,B,A,C,A,B,C,C,A,C,A
10006222,B,A,B,C,B,A,C,C,B,C,C,B,B,B,C,A,C,B,A,C,B,A,C,A
10078754,A,A,C,C,B,A,A,B,A,C,B,B,B,C,B,A,C,C,B,C,C,A,A,B
20379520,C,B,C,A,C,C,B,A,C,A,B,A,B,A,B,C,C,A,A,B,C,A,C,A
10477195,B,A,B,A,B,A,C,B,A,A,A,C,B,C,B,A,C,B,B,C,C,A,C,B
10006220,B,C,B,A,B,A,C,B,A,B,A,C,B,C,C,A,C,B,B,C,C,A,C,A
10325999,C,A,A,B,B,C,A,B,C,B,A,C,A,B,C,C,A,B,B,A,C,A,C,C
10085351,B,A,A,A,C,B,C,C,B,B,A,A,B,B,B,C,A,A,A,B,B,B,A,B
10039402,B,A,B,C,B,B,C,C,B,B,A,C,B,C,B,A,C,B,B,C,C,A,C,B
10387361,A,C,A,A,B,A,C,B,A,B,A,C,C,A,A,A,B,B,C,C,A,A,A,B
10325958,A,A,B,A,B,A,C,A,A,C,B,A,A,A,C,A,A,B,A,B,B,A,A,A
10324724,B,C,C,B,B,A,B,A,A,A,C,B,A,A,C,C,B,B,B,C,C,A,B,C
10092891,B,C,C,C,A,B,B,A,A,C,B,C,A,C,A,A,C,A,B,B,B,A,B,A
10285259,A,C,B,A,A,B,B,B,B,A,A,B,A,C,B,B,A,A,A,B,B,C,B,B
10285372,B,A,C,A,A,C,B,B,B,C,C,B,A,C,B,A,B,B,B,C,C,A,A,A
10158737,A,B,C,A,A,B,C,A,C,B,A,B,B,B,A,A,B,A,A,A,B,A,C,C
10052682,B,A,B,C,B,A,B,B,A,A,B,C,A,B,B,C,A,A,A,A,B,A,B,B
10040031,B,A,C,A,B,A,C,A,A,A,A,C,B,C,B,A,B,B,B,C,C,A,A,B
10503107,B,A,C,A,B,B,C,B,C,C,A,C,B,C,B,A,B,B,B,C,C,A,C,B
10503094,A,A,B,C,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A
10294255,C,A,B,B,C,A,A,C,B,B,A,C,B,B,B,C,C,A,C,C,A,B,B,C
10503177,B,A,C,A,B,B,C,B,A,C,B,C,B,C,B,A,A,B,B,C,C,A,C,B
10285280,B,A,C,A,B,A,C,B,A,B,A,C,B,A,B,A,A,B,B,C,A,A,B,A
10503126,B,A,C,C,B,C,B,C,C,B,A,C,C,C,C,C,B,C,A,A,B,A,C,A
10285310,B,C,C,C,B,A,C,C,A,B,B,C,B,C,B,B,B,C,A,B,C,B,A,C
10285316,B,B,A,B,B,A,B,A,A,A,A,C,C,B,A,B,C,A,A,B,C,C,B,B
10286017,B,A,C,A,B,A,C,C,A,B,C,B,C,C,B,C,C,A,B,B,B,C,C,A
10011115,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
10286136,A,C,C,C,B,B,B,C,C,B,C,B,C,C,C,B,A,C,C,B,C,C,C,A
10169160,C,B,A,A,B,C,B,B,A,A,A,C,B,B,B,A,C,B,B,C,C,A,C,A
10503148,C,B,B,B,B,B,C,B,A,B,C,C,C,C,A,B,C,C,C,C,C,B,C,B
10285362,B,A,C,A,B,A,B,C,A,B,A,C,C,A,C,A,A,B,B,C,A,B,A,A
10621078,C,C,B,B,B,C,B,B,B,A,A,B,A,B,A,C,A,B,B,C,C,A,C,B
10285843,C,C,C,C,B,C,B,B,B,A,A,B,B,B,B,C,C,C,B,B,A,A,A,A
10011354,B,C,C,A,B,B,B,B,B,A,A,A,C,C,A,B,A,B,C,C,C,C,C,A
10336238,A,A,A,A,B,A,B,C,A,C,B,A,B,A,C,B,C,B,C,B,B,C,C,A
10503218,B,A,C,A,B,B,C,B,A,B,A,C,B,C,C,A,C,B,B,C,C,A,C,B
10346883,C,B,A,C,A,A,A,A,C,B,A,A,A,B,A,B,B,C,A,A,B,B,B,C
10051613,B,A,A,C,A,B,B,B,C,B,C,B,B,B,B,B,B,C,B,B,A,B,A,A
10042764,C,C,A,B,B,A,B,C,B,C,A,C,A,C,B,C,A,A,B,A,B,B,A,A
10285892,C,B,A,B,B,A,C,A,B,A,B,B,B,C,A,C,A,C,C,C,C,C,C,C
10342949,B,A,C,A,B,A,C,B,A,B,C,C,A,B,B,A,C,A,A,C,A,C,B,A
10285326,B,A,C,A,B,B,C,B,C,C,A,C,B,C,B,A,C,B,B,C,C,A,C,B
10611741,C,C,A,B,B,C,B,B,A,B,A,B,A,B,C,A,B,B,B,C,C,A,B,A
10332304,A,C,C,C,B,A,C,A,A,A,B,B,B,C,B,B,A,B,C,B,B,B,B,B
10286031,B,A,C,A,B,A,C,B,A,A,A,C,B,C,B,A,C,B,B,C,C,A,A,B
10286046,B,A,A,A,B,A,B,A,A,A,A,B,B,C,B,A,A,B,B,A,A,C,A,A
10023853,B,A,C,B,B,A,B,B,C,A,A,C,A,C,C,A,C,A,B,C,B,A,C,A
10503164,A,A,C,B,C,B,B,C,B,B,B,B,C,A,B,A,C,B,A,B,A,A,B,B
10397659,B,B,C,B,B,B,B,B,A,A,A,A,B,C,B,A,A,B,B,B,A,A,A,A
10010990,C,A,B,B,B,A,C,A,A,C,A,C,A,A,A,B,A,A,B,A,A,A,B,A
10834874,B,A,B,A,B,A,C,B,A,B,A,C,B,C,B,A,C,B,B,C,C,A,C,B
10158755,B,A,C,A,B,B,C,C,A,B,C,C,B,C,B,A,C,B,B,C,C,A,C,B
10161701,B,A,C,A,B,A,C,A,A,C,B,C,C,C,C,A,C,A,B,C,B,A,B,A
10305745,B,A,A,A,A,A,B,C,A,C,B,A,B,C,B,A,C,B,B,B,C,A,C,B
10355100,A,A,B,A,A,A,C,B,A,A,C,B,A,C,B,B,B,C,B,A,B,C,C,C
10364116,B,C,B,A,B,A,C,B,A,C,B,C,B,A,B,A,C,B,B,B,A,A,A,A
10305659,B,C,B,A,B,B,A,C,B,C,A,B,C,C,B,A,A,C,B,C,C,A,C,B
10305890,B,A,C,A,B,A,C,B,A,B,A,C,B,C,B,A,C,B,B,C,C,A,C,B
10526546,B,A,C,A,B,B,C,B,A,B,A,C,B,C,B,A,C,B,B,C,C,A,C,B
10516138,B,C,C,A,B,A,B,A,B,C,C,C,B,A,B,A,C,B,B,C,C,A,C,A
10418003,B,A,A,A,B,A,C,B,A,B,A,C,B,C,B,A,C,B,B,C,C,A,C,B
10015582,B,A,A,A,B,A,B,B,A,A,A,B,C,A,C,A,A,A,B,C,C,C,C,B
10305801,B,A,C,A,B,A,B,B,A,C,A,C,B,C,C,C,C,B,C,C,C,A,C,B
10119310,B,A,C,A,B,B,C,C,B,A,A,A,B,C,B,A,A,B,B,C,C,A,C,B
10123377,B,A,B,A,B,A,C,B,A,B,A,C,B,C,B,A,C,B,B,C,C,A,C,B
10132440,A,A,B,A,B,A,C,B,A,B,A,A,B,C,B,A,C,B,B,C,C,A,C,B
10307185,B,A,C,B,B,B,C,B,B,B,A,C,B,C,C,A,C,B,B,C,C,A,C,B
10318413,B,A,A,A,B,A,C,B,A,B,A,C,A,C,B,A,C,A,B,C,C,A,C,B
20304174,B,C,A,B,B,A,B,A,B,A,C,C,A,B,C,C,B,A,B,C,A,C,A,A
10125091,B,A,C,A,B,A,C,C,A,C,C,C,B,C,B,A,A,C,B,C,C,A,C,B
10370507,B,C,C,A,A,A,C,A,A,B,A,A,A,A,B,A,A,A,B,C,A,A,A,A
10380812,A,A,C,C,B,A,C,B,A,C,C,C,B,C,B,A,C,B,B,C,C,A,C,B
10362522,B,C,A,C,B,C,A,A,B,C,C,A,C,A,B,A,B,C,A,B,C,C,A,C
10377465,B,A,C,A,B,A,C,A,B,B,A,A,A,A,B,A,A,A,B,C,C,B,A,A
10343059,C,C,B,A,B,A,C,B,A,A,A,B,B,A,A,B,B,A,B,C,A,B,C,C
10046076,B,A,C,A,B,B,C,A,A,B,A,C,B,C,B,A,C,B,B,C,C,A,A,B
10380849,B,B,B,A,B,A,C,B,C,B,A,C,C,A,B,A,C,A,A,A,A,A,A,A
10377644,A,C,C,B,A,A,C,B,B,C,B,A,C,C,A,A,A,A,B,A,A,C,B,A
10472579,B,C,B,A,A,A,C,B,A,A,B,B,B,C,C,A,C,B,B,C,A,A,C,A
10470787,A,A,B,B,B,A,C,B,A,B,A,C,B,C,C,A,A,A,B,C,C,A,A,B
10357533,C,B,C,B,B,B,B,A,A,C,B,C,A,B,B,C,C,A,B,B,A,A,A,A
10465996,A,C,C,B,B,B,B,A,B,A,B,B,A,C,C,A,B,B,C,C,C,A,A,B
10471568,B,C,C,C,B,B,C,A,A,C,B,A,A,C,A,A,B,A,B,C,C,A,B,A
10357489,C,A,C,A,B,A,C,B,A,C,A,A,A,A,B,A,B,A,A,A,A,C,C,A
10357587,A,B,B,C,A,B,C,B,A,A,A,A,A,C,A,C,A,C,B,C,B,A,B,C
10466053,B,A,C,A,B,B,A,A,C,A,A,A,B,B,B,A,B,B,A,C,A,A,B,B
10369175,B,B,A,A,C,B,B,A,A,A,A,B,A,A,A,C,A,C,A,A,A,A,A,A
10359711,A,A,B,A,B,A,C,A,A,C,B,A,B,C,B,A,C,B,C,C,C,A,A,B
10357501,B,A,B,A,B,A,C,B,A,A,A,A,B,C,C,A,A,B,B,C,B,A,A,A
10359537,A,C,C,A,B,B,B,B,C,C,A,A,B,A,A,A,A,A,B,A,A,B,A,B
10358513,C,C,A,A,B,A,C,B,B,C,C,B,B,B,C,A,A,B,A,A,B,C,B,A
10358548,A,C,B,A,B,A,C,C,C,C,A,A,A,C,B,A,C,B,B,A,A,A,C,A
10466568,C,A,B,A,B,A,C,C,A,B,A,C,A,C,B,B,A,C,B,A,B,A,B,B
10609116,B,A,B,A,B,A,C,B,A,A,C,B,B,B,B,A,C,B,B,B,C,B,A,B
10368906,B,C,C,B,A,B,C,B,C,B,A,C,B,A,B,A,A,C,C,B,B,A,C,A
10467899,B,C,A,B,B,A,A,B,B,A,C,C,C,A,B,A,C,A,B,B,A,A,C,C
10453338,B,B,C,A,B,A,C,A,A,A,A,B,B,C,B,A,C,B,B,B,B,A,B,A
10010456,B,A,C,B,B,B,C,B,A,C,A,A,B,B,B,A,A,B,B,C,C,A,A,B
10453178,B,A,A,A,B,B,C,C,A,C,A,A,B,C,B,A,C,B,B,C,C,A,C,B
10453193,B,A,C,A,B,A,C,A,A,A,A,C,B,C,B,A,B,A,A,A,A,B,A,A
10308457,B,C,B,A,B,A,B,C,A,A,A,C,C,B,B,C,A,A,B,C,C,A,C,B
10308538,B,B,A,A,B,A,C,B,A,B,A,B,B,B,A,A,B,B,A,B,A,A,A,B
10453251,A,C,B,B,B,A,C,C,A,A,A,B,B,B,A,C,A,B,B,C,A,A,A,A
20320898,B,C,A,A,B,A,C,B,B,B,A,B,C,B,B,B,A,C,A,C,C,B,B,A
