NIE,G1-LEG1,G1-LEG2,G1-LEG3,G1-LEG4,G1-LEG5,G1-LEG6,G2-LEG7,G2-LEG8,G2-LEG9,G2-LEG10,G2-LEG11,G2-LEG12,G3-LEG13,G3-LEG14,G3-LEG15,G3-LEG16,G3-LEG17,G3-LEG18,G4-LEG19,G4-LEG20,G4-LEG21,G4-LEG22,G4-LEG23,G4-LEG24
4212987,B,D,B,B,A,D,C,B,A,B,C,D,B,D,C,D,B,C,B,B,B,D,B,D
5022809,B,D,B,D,D,D,C,B,A,A,C,C,B,B,C,A,B,B,B,A,D,A,D,C
5827183,B,D,A,C,C,C,C,B,A,A,A,B,B,D,C,D,B,D,D,A,B,D,A,A
19716388,A,A,B,A,B,A,C,B,A,B,A,A,B,A,A,D,B,B,B,C,B,C,C,A
10278506,B,D,A,C,D,C,A,A,A,A,A,D,B,D,A,D,C,C,C,D,B,D,C,D
20264877,B,D,D,C,A,C,C,B,B,A,A,B,B,D,A,D,B,C,D,B,B,D,A,C
10238947,B,D,D,C,D,C,C,A,A,C,A,D,B,B,A,D,B,B,D,B,B,D,C,C
19966697,B,D,D,C,B,C,A,B,A,C,A,C,B,D,A,A,A,A,A,A,B,B,A,D
19713051,B,D,A,C,A,D,C,B,A,C,A,D,B,D,C,D,B,B,D,B,B,D,D,C
2936186,B,A,A,B,A,A,A,C,A,C,B,D,C,A,C,A,B,C,B,C,B,A,B,C
7281470,B,A,D,C,A,C,C,C,C,D,A,A,B,D,A,A,B,C,B,B,B,B,D,A
7281476,B,D,A,C,A,D,C,B,B,A,D,A,B,B,C,B,B,C,D,D,B,B,B,B
7281447,B,D,A,C,A,D,C,B,B,C,A,A,B,B,A,D,B,C,D,B,B,D,D,C
19863275,B,D,A,C,A,D,C,B,A,D,A,A,B,D,A,D,B,B,D,B,B,D,D,C
19713026,B,D,A,C,D,D,C,B,A,D,B,D,B,D,C,D,B,C,A,A,B,B,A,A
7281484,C,D,B,A,A,D,C,D,B,A,A,A,A,D,C,B,B,C,C,B,A,D,A,A
19998485,B,D,B,C,A,C,C,C,A,C,D,A,C,D,A,B,B,C,D,B,B,D,D,C
19901842,B,D,A,C,A,D,C,A,A,C,C,D,B,D,A,D,B,D,A,A,B,B,A,A
19863361,B,D,C,D,D,D,D,B,A,C,C,D,C,D,C,D,D,C,C,B,B,D,B,C
19863347,A,D,D,C,A,D,C,B,A,A,A,C,B,A,C,B,B,B,D,B,B,D,B,C
19994166,B,D,A,C,D,C,C,A,B,C,C,D,B,D,C,D,B,D,D,A,B,D,A,A
19997945,B,D,A,C,A,D,C,B,A,C,C,D,B,D,C,D,B,B,D,B,B,D,D,C
19979803,B,D,A,C,A,C,A,D,B,D,D,B,B,A,A,A,B,B,A,A,B,A,D,A
20221844,B,C,C,A,D,C,B,B,B,D,D,B,C,B,D,D,C,D,B,C,D,C,B,C
20125477,B,D,C,C,A,D,A,D,B,D,B,D,B,D,C,D,B,C,D,A,B,D,D,D
19974172,B,D,C,C,A,D,A,D,B,D,B,D,B,D,C,D,C,D,A,A,B,D,A,D
20347584,B,A,A,C,D,A,C,D,A,A,C,A,B,D,C,D,C,B,D,C,B,A,C,A
20275512,B,A,D,D,B,C,B,C,A,A,A,C,C,B,A,A,C,A,A,A,B,B,A,B
19997177,B,D,A,C,D,D,D,D,A,C,C,D,B,D,C,D,C,B,C,C,B,D,D,C
10408295,B,C,A,C,B,D,A,D,A,B,A,D,B,C,A,B,C,D,A,B,B,A,A,D
20035400,B,B,C,A,C,B,B,C,B,A,C,C,B,C,B,C,B,C,D,B,B,C,C,C
19947431,B,D,A,A,A,C,C,B,A,C,C,D,B,D,A,D,B,D,B,B,B,A,A,C
19885342,B,A,D,C,A,D,C,B,B,C,A,D,B,B,A,A,B,B,A,A,B,B,A,D
20248299,B,B,C,D,C,A,A,D,C,A,C,A,B,D,C,D,B,B,C,D,D,A,C,B
20222910,B,B,A,C,D,B,C,C,C,C,D,B,B,D,A,B,B,C,D,B,B,D,A,C
19960516,B,C,C,D,C,D,B,A,A,A,C,C,C,A,B,D,C,C,A,C,B,D,A,A
3244745,B,D,A,C,C,C,B,D,A,A,B,D,B,D,B,D,B,B,C,B,A,C,D,A
20085435,B,C,D,B,A,B,A,D,C,A,A,C,D,C,C,B,C,D,C,C,A,D,B,B
19787031,D,D,D,B,D,C,D,D,A,B,A,B,B,D,A,D,C,A,A,A,B,B,A,D
20130989,A,B,A,B,A,C,C,D,A,C,A,A,C,D,A,D,A,D,A,A,B,D,A,D
10191144,B,A,B,D,B,C,C,B,C,B,C,D,B,D,C,A,B,C,D,A,B,D,A,B
20084376,B,D,A,C,A,C,C,A,A,C,A,A,B,D,A,D,B,C,D,B,B,A,A,D
20156166,D,A,D,D,A,C,D,A,A,B,A,A,A,A,A,B,C,C,A,C,A,D,D,D
19852696,B,D,B,C,C,D,C,B,C,B,C,B,B,D,A,D,B,A,D,A,B,D,A,C
19914666,B,D,A,C,A,D,C,D,B,B,C,A,B,D,A,D,B,C,B,C,B,C,A,B
20343546,B,D,A,B,D,C,C,D,C,C,C,D,B,D,A,D,B,C,D,A,B,D,A,A
20035414,C,B,B,B,C,B,D,C,A,C,D,A,B,D,C,D,C,C,C,C,B,D,D,D
20111334,B,D,A,C,A,A,D,D,A,A,B,D,C,D,C,D,B,B,B,A,B,A,A,A
19787047,C,B,A,D,A,C,C,D,A,C,B,B,C,B,A,B,C,B,B,C,A,C,D,C
20108705,B,D,A,C,A,B,C,D,A,A,A,A,B,D,A,D,A,A,B,D,B,C,A,A
20161571,B,D,A,C,A,D,C,B,C,C,A,B,B,D,C,D,B,B,B,B,B,D,A,A
19940608,B,D,A,C,C,C,C,B,A,C,C,D,B,D,A,D,B,A,A,C,B,D,B,C
19939386,B,D,A,C,D,C,C,D,C,C,C,B,B,D,A,D,B,C,B,C,B,D,A,D
20165470,B,D,A,C,A,C,A,A,A,B,C,A,A,A,A,D,B,B,B,B,B,D,A,C
20274771,B,D,C,B,D,A,A,A,C,C,C,C,B,D,B,D,B,B,D,D,D,D,C,D
19975687,B,A,A,C,D,C,A,B,A,B,C,D,B,D,A,D,B,C,D,B,B,D,C,C
20072830,B,D,A,D,C,B,C,B,A,D,B,B,B,D,A,D,B,C,A,B,B,D,A,D
10237144,B,D,A,C,C,C,C,B,C,C,C,C,B,D,A,D,B,C,D,A,C,D,A,D
10213503,B,D,D,D,A,C,C,B,A,C,B,D,B,D,A,A,B,C,C,A,B,D,D,D
20394440,B,D,A,C,D,C,D,D,B,D,C,D,B,A,A,D,B,C,D,B,B,D,A,C
20160528,D,B,A,C,C,C,C,B,B,C,A,D,B,D,A,D,B,C,D,A,B,B,A,C
3196692,B,A,A,A,B,D,D,B,A,B,B,C,D,B,A,A,A,B,A,D,A,D,B,A
4932267,A,C,D,A,A,D,C,B,C,B,D,D,B,D,C,B,B,B,B,C,A,C,A,A
19964447,A,D,A,C,D,C,C,A,B,C,B,D,B,D,C,A,B,B,B,A,B,D,D,A
19879037,B,D,D,C,B,D,A,A,A,A,C,D,B,A,A,D,B,D,C,B,B,D,A,C
19866388,B,D,A,C,C,D,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
20264236,B,D,C,D,A,C,C,A,A,A,B,B,B,D,A,D,B,C,A,A,B,D,A,D
19882520,C,B,C,A,D,A,A,D,C,B,C,B,B,C,B,D,A,B,D,A,C,B,B,C
19955377,B,D,A,B,C,C,C,B,A,D,C,A,B,A,C,D,C,C,D,A,D,A,D,A
20239495,B,C,A,A,B,D,C,B,B,B,C,B,B,A,C,B,B,C,A,C,B,B,A,C
20263504,A,D,B,A,D,D,C,B,A,C,D,A,A,A,A,A,B,C,B,B,A,D,A,A
20084616,C,C,B,D,D,A,C,B,A,A,A,D,B,D,C,D,B,C,C,A,B,A,D,C
19977349,B,D,A,C,B,C,C,B,C,C,A,C,B,D,C,D,C,C,D,A,B,D,B,A
20156515,B,D,A,C,C,D,D,D,B,C,C,B,B,D,C,B,B,C,D,A,A,B,A,C
20101580,B,A,B,A,C,A,A,A,A,C,C,D,B,D,C,D,B,C,B,B,B,B,A,C
20275030,A,C,B,A,D,C,B,D,D,D,D,C,B,D,D,D,B,A,C,D,C,C,C,C
20101646,A,B,A,A,D,C,C,A,A,D,C,D,B,D,A,D,B,C,D,B,B,D,A,C
20347304,B,D,A,C,D,C,C,B,A,C,C,D,B,D,A,D,B,C,D,B,B,D,A,C
19898413,B,A,A,A,A,C,D,D,B,D,D,D,B,D,A,D,B,C,D,B,B,D,A,C
20187650,D,B,B,A,D,D,C,A,A,A,A,A,B,A,A,A,A,A,A,B,A,C,A,A
19932586,B,D,A,C,A,D,C,A,C,C,C,D,B,D,C,D,B,B,B,B,B,B,A,C
20068450,B,D,A,D,A,C,C,B,A,A,A,A,B,A,A,A,B,C,D,C,A,D,C,D
19898319,B,D,A,C,D,C,C,C,C,C,C,D,B,D,A,D,B,C,D,B,B,D,A,C
20221847,B,D,A,A,A,C,A,B,D,C,C,A,B,D,A,D,B,C,C,C,C,D,D,B
19861934,B,C,B,A,C,D,A,A,A,C,C,A,A,D,A,D,B,A,A,A,B,A,A,A
20083040,B,D,A,B,D,D,A,A,C,A,C,B,B,D,C,D,B,D,D,A,B,D,A,A
20106453,B,D,B,C,A,C,A,B,A,D,B,A,C,C,C,D,A,B,B,C,A,D,A,A
19998131,B,B,D,D,A,D,D,B,A,A,A,D,B,D,C,D,B,B,D,A,C,B,D,D
6727916,D,C,B,A,D,C,C,B,C,D,D,D,C,A,D,D,A,B,A,D,C,A,D,D
20121994,D,B,B,A,A,D,A,D,C,A,A,C,C,B,D,A,A,D,A,A,A,C,D,A
20218338,B,D,A,C,A,C,A,D,A,C,C,C,B,D,B,D,B,C,B,A,B,D,A,A
20212689,B,D,A,C,C,D,C,B,A,C,C,B,B,B,A,D,B,C,B,B,B,D,D,C
19884461,B,A,C,B,C,B,C,B,B,C,A,C,C,A,C,A,C,A,C,A,B,B,A,B
20218359,B,A,A,B,B,C,A,B,A,B,B,B,B,A,C,D,B,D,D,A,D,A,A,A
19930330,B,D,A,C,A,D,C,B,B,A,C,B,B,D,C,D,C,C,B,B,B,B,A,A
5102736,A,B,B,A,A,A,D,B,B,C,C,B,B,A,C,A,B,A,A,A,B,A,A,A
20121960,B,A,C,C,D,A,D,C,A,A,C,C,C,B,C,A,D,C,A,B,B,C,D,D
20243135,B,D,A,C,D,C,C,A,A,C,D,B,B,C,C,A,C,B,B,A,B,C,A,C
20264922,B,D,C,C,A,D,A,B,A,A,A,D,B,B,C,D,B,C,A,A,B,A,D,A
19787050,A,B,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,B,C,A,D,C
20072521,D,C,A,B,A,D,B,C,A,B,A,A,D,B,C,B,B,A,C,C,B,B,A,A
20043541,B,A,A,C,D,C,C,B,A,C,A,D,B,D,C,D,C,C,D,A,B,B,A,C
20103751,B,D,B,B,B,C,C,C,D,C,B,D,B,B,C,D,C,D,A,D,C,D,A,D
20218354,B,D,A,A,A,B,A,D,A,A,A,D,B,A,A,D,B,B,D,A,B,B,B,D
