NIE,G1-LEG1,G1-LEG2,G1-LEG3,G1-LEG4,G1-LEG5,G1-LEG6,G2-LEG7,G2-LEG8,G2-LEG9,G2-LEG10,G2-LEG11,G2-LEG12,G3-LEG13,G3-LEG14,G3-LEG15,G3-LEG16,G3-LEG17,G3-LEG18,G4-LEG19,G4-LEG20,G4-LEG21,G4-LEG22,G4-LEG23,G4-LEG24
19951367,A,A,B,C,B,D,A,C,A,A,C,A,D,C,B,B,B,B,C,B,D,A,D,B
10178688,C,B,C,A,C,A,B,B,C,A,D,D,D,D,C,C,C,B,D,D,B,B,C,B
19731970,A,A,A,A,A,A,B,A,B,B,A,B,A,C,A,B,A,A,A,C,A,A,A,A
6535811,A,C,B,C,A,A,A,D,C,A,C,A,A,C,B,B,A,B,B,D,D,C,A,B
20153927,A,B,C,B,A,B,A,C,B,B,C,B,B,A,C,B,D,B,D,B,C,A,C,B
20241820,B,B,B,C,A,B,B,A,A,B,B,C,A,B,B,B,B,A,C,A,B,C,B,A
19929141,A,A,C,D,C,B,A,C,B,C,A,C,B,A,B,C,C,C,B,B,C,C,C,C
20116089,C,C,B,D,D,B,D,D,B,B,D,A,D,B,B,B,B,B,A,A,A,B,C,A
19806871,D,C,B,A,D,B,A,D,B,B,C,A,D,C,B,A,B,B,D,B,A,C,C,B
19948040,A,D,C,C,A,D,D,B,B,C,B,D,A,A,C,C,D,A,D,A,C,D,B,B
19774796,C,D,A,D,A,A,D,C,B,B,D,C,D,B,D,D,A,D,C,A,D,A,C,B
19749037,A,A,A,B,A,A,A,B,A,A,C,A,D,B,D,C,C,B,B,B,D,C,D,A
20167731,D,B,A,B,A,B,B,D,A,A,A,A,A,B,B,C,A,D,C,C,A,C,C,C
19996114,A,C,B,D,A,B,A,D,A,B,D,A,D,C,D,A,B,B,A,A,A,C,C,B
19937734,C,C,B,B,D,B,B,A,B,B,A,A,C,C,B,B,A,A,A,A,A,A,A,B
19975290,A,A,B,B,C,D,B,D,D,A,D,C,D,B,D,D,D,D,B,C,D,D,B,D
20038952,C,C,B,A,D,D,A,C,B,B,D,A,D,C,A,A,B,B,D,B,A,C,A,D
19770197,A,C,B,B,D,D,B,C,A,C,D,B,C,C,B,A,C,B,B,B,C,C,B,D
19965323,B,B,A,D,B,B,A,D,C,D,A,D,D,C,D,B,B,C,A,A,B,C,A,A
19907137,A,B,B,B,B,A,C,B,C,C,C,B,C,B,C,B,C,D,D,B,B,B,B,B
10219376,C,A,B,C,A,D,D,C,B,B,C,A,D,A,D,C,D,B,B,D,D,B,A,A
19929277,A,A,B,C,C,A,B,A,A,C,B,C,B,C,A,C,C,B,C,A,A,B,B,C
19723137,C,A,D,C,A,B,A,A,A,C,A,C,B,C,A,C,B,A,B,C,A,A,A,A
19981770,D,C,A,A,D,D,A,D,B,A,C,B,D,A,D,B,B,A,B,B,A,C,D,D
19770274,A,B,B,B,A,D,C,B,C,D,C,C,C,B,B,D,A,A,C,A,B,C,C,C
19748889,C,B,B,B,C,C,C,C,C,C,B,D,B,C,D,D,C,C,B,C,B,C,C,B
3486731,A,A,A,A,D,B,A,C,B,A,D,D,D,B,A,A,B,B,C,B,D,C,C,B
5023287,D,B,B,A,D,B,A,B,B,A,D,A,C,B,D,A,B,B,A,B,D,C,C,A
20059426,C,D,B,A,B,A,D,B,C,A,C,D,D,B,C,C,B,A,A,D,C,B,D,D
19756135,C,A,B,D,C,A,C,C,C,C,A,C,D,B,B,D,A,C,B,D,C,C,D,D
20182821,B,B,A,D,C,A,D,C,A,A,D,C,D,B,D,B,A,D,B,D,B,C,C,C
4094947,C,C,B,B,A,A,C,C,B,C,B,B,D,B,D,C,C,C,C,D,D,C,D,C
6410135,A,C,A,B,B,C,A,A,B,B,A,B,A,B,B,B,A,A,A,A,A,A,B,A
4367190,A,B,C,A,C,A,C,B,C,B,C,C,A,D,A,A,B,C,C,C,B,D,C,B
19963239,D,A,C,C,B,B,A,B,C,B,D,B,C,B,C,D,A,D,A,B,A,A,C,B
19886211,D,C,C,A,D,D,A,B,B,A,D,A,D,C,C,A,A,B,B,D,A,B,C,A
19963238,C,B,C,A,C,C,C,C,C,A,A,C,C,B,B,B,B,B,C,C,B,C,B,B
20078972,A,A,C,B,D,C,A,C,D,B,A,D,B,D,B,D,C,C,D,C,D,B,B,D
20083244,D,A,A,A,C,A,A,C,A,A,B,A,D,C,B,C,B,A,B,B,B,B,D,B
19723139,C,B,B,A,A,B,A,B,B,B,C,B,B,A,B,A,A,A,C,B,C,B,A,A
6763516,D,C,B,A,D,B,A,D,B,D,D,A,D,D,D,A,B,C,A,B,D,A,C,C
19996589,A,D,B,A,A,B,A,A,B,B,D,C,D,B,A,A,B,A,A,B,D,B,D,D
