NIE,G1-MAT1,G1-MAT2,G1-MAT3,G1-MAT4,G1-MAT5,G1-MAT6,G1-MAT7,G1-MAT8,G1-MAT9,G1-MAT10,G1-MAT11,G1-MAT12,G1-MAT13,G1-MAT14,G1-MAT15,G1-MAT16,G1-MAT17,G1-MAT18,G1-MAT19,G1-MAT20,G1-MAT21,G1-MAT22,G1-MAT23,G1-MAT24,G1-MAT25,G2-MAT26
20076720,A,A,B,A,B,B,B,A,C,C,C,A,B,A,B,A,B,B,B,A,B,C,A,B,A,A
6871764,C,A,B,C,C,D,A,A,B,A,D,B,C,A,C,B,B,C,B,A,A,A,C,B,C,A
5531966,C,A,C,C,A,A,B,C,D,A,D,B,B,A,A,A,A,B,A,B,B,B,A,A,D,A
6376103,C,A,D,C,A,C,D,D,A,C,D,A,A,C,A,A,B,B,A,A,D,D,A,A,D,A
6538263,D,D,A,B,A,A,B,D,A,A,B,B,C,A,B,D,B,D,C,D,B,B,C,C,A,B
20396981,D,D,A,A,D,A,B,B,A,B,C,A,C,C,B,B,D,A,B,A,D,D,C,D,A,B
3267156,D,A,A,C,A,C,D,A,A,C,C,B,B,D,D,A,D,B,D,D,C,B,C,A,A,B
3855167,C,C,B,C,B,C,C,D,B,B,B,D,C,C,A,C,C,A,C,C,B,B,C,A,C,B
19949191,A,B,B,A,A,A,B,A,D,A,C,A,B,B,B,A,A,B,C,A,A,B,A,D,C,B
19974751,B,B,B,C,B,B,D,C,C,D,C,B,A,B,A,B,A,B,A,C,C,C,B,C,D,B
19779666,B,A,B,D,B,C,C,B,D,C,A,A,A,D,A,D,A,A,A,A,C,A,C,A,A,C
20080634,C,D,C,C,A,D,A,D,D,A,D,B,B,A,D,D,B,B,D,D,B,A,A,A,A,C
2009092,C,A,C,C,A,D,D,C,D,C,D,B,B,D,A,A,A,B,C,B,C,B,A,A,A,C
20064485,A,A,A,C,B,A,B,D,D,A,C,A,B,B,C,D,A,A,A,D,B,A,C,A,A,C
19757363,A,A,B,C,A,B,B,D,B,C,C,A,B,A,A,C,A,B,B,A,A,D,B,A,A,C
19795678,C,A,D,C,B,D,B,D,B,D,D,B,B,B,A,B,A,B,C,B,C,B,A,B,B,C
3219192,C,A,B,C,A,C,D,D,D,C,A,C,C,C,A,A,C,A,C,B,C,B,D,B,B,C
19827938,C,A,C,C,A,D,B,C,B,C,B,B,B,A,C,A,A,A,A,A,C,A,A,A,D,C
19814815,B,D,A,C,B,C,B,C,B,C,C,A,B,C,B,C,D,A,C,B,C,C,A,B,D,C
20076061,C,A,B,C,A,D,B,D,D,A,D,B,A,D,C,A,A,B,A,C,A,C,A,A,D,C
19741121,C,A,C,C,C,D,B,D,B,C,D,B,C,B,D,B,A,B,A,B,C,B,C,A,D,C
5833234,C,A,C,C,A,D,B,D,D,C,D,B,B,D,A,A,A,B,B,D,C,B,C,A,D,C
2749402,C,A,C,C,A,D,D,D,D,C,D,B,B,B,A,A,A,B,C,B,C,B,A,A,D,C
19971368,C,A,C,C,A,C,D,D,D,C,D,B,C,D,A,A,A,B,D,C,C,B,A,A,D,C
20070985,B,A,C,C,A,D,B,D,D,C,D,A,B,C,C,A,A,B,A,B,C,B,C,A,D,C
5059854,B,A,A,B,C,B,D,A,A,A,C,A,A,A,A,A,D,B,B,A,D,D,C,A,A,A
20167646,C,D,B,B,B,A,D,A,B,B,D,B,B,A,A,A,C,B,A,A,C,B,B,C,A,A
19854504,A,A,D,C,B,C,D,C,C,B,D,A,C,B,A,A,D,A,C,C,A,D,B,C,C,A
5362411,A,B,B,B,B,A,D,C,A,A,A,C,B,A,B,D,B,C,D,A,A,A,C,A,D,A
4215237,D,B,C,C,B,D,B,C,D,C,B,B,B,A,A,A,A,A,B,A,A,B,A,A,D,A
7363668,C,D,A,C,A,D,B,C,B,C,B,A,A,B,A,A,B,A,B,B,A,B,A,C,A,B
7322257,B,A,C,D,B,A,A,A,B,B,C,B,B,C,A,A,A,B,B,D,A,B,A,B,A,B
20065914,D,C,B,B,A,B,D,A,D,C,A,A,B,C,C,A,B,D,B,B,B,B,A,C,A,B
19721413,B,C,D,D,A,D,D,B,D,C,B,A,C,D,B,C,A,B,A,A,B,D,C,A,B,B
4768132,A,A,C,C,B,A,D,D,D,C,D,A,B,A,A,A,A,B,B,A,B,B,A,A,A,C
19999258,B,B,C,A,A,B,C,B,D,C,B,B,B,C,B,B,C,C,A,C,C,C,C,C,A,C
