NIE,G1-MAT1,G1-MAT2,G1-MAT3,G1-MAT4,G1-MAT5,G1-MAT6,G1-MAT7,G1-MAT8,G1-MAT9,G1-MAT10,G1-MAT11,G1-MAT12,G1-MAT13,G1-MAT14,G1-MAT15,G1-MAT16,G1-MAT17,G1-MAT18,G1-MAT19,G1-MAT20,G1-MAT21,G1-MAT22,G1-MAT23,G1-MAT24,G1-MAT25
6652322,A,A,A,B,A,B,A,C,A,A,A,A,A,C,A,C,A,B,A,A,D,C,B,B,A
2557667,B,A,A,D,C,A,B,A,D,D,B,C,B,D,B,D,D,C,C,D,C,C,D,D,B
6299850,A,A,A,C,D,C,B,D,A,B,A,B,A,C,B,C,B,B,B,D,D,C,B,D,B
4840208,A,A,A,B,B,A,A,A,C,B,B,B,A,A,A,A,A,A,C,B,D,D,A,B,B
6657253,B,A,A,A,A,D,B,A,D,A,C,B,C,C,D,D,A,C,D,B,C,D,D,A,C
19858200,B,A,A,C,A,B,A,B,D,B,C,A,B,A,A,B,C,B,C,D,A,C,B,D,C
5867924,D,A,A,D,A,A,D,A,B,A,B,C,D,D,A,D,A,A,A,D,B,B,B,D,D
5205580,B,A,A,A,A,C,B,B,D,A,C,C,A,C,D,A,C,B,D,B,D,D,A,A,D
4236175,C,A,B,D,D,D,D,C,D,C,C,C,A,C,D,D,A,A,A,D,C,D,B,D,A
6403706,B,A,B,B,B,B,A,B,B,B,A,B,C,B,B,B,B,B,A,A,B,D,B,B,B
6863221,B,A,B,A,B,C,D,B,D,C,D,B,C,C,D,B,A,B,D,B,D,D,D,C,B
5012072,D,A,B,B,A,B,B,C,A,A,C,B,B,D,A,B,B,B,B,B,B,C,B,A,B
4966072,C,A,B,A,C,B,D,B,D,B,A,B,C,C,B,B,B,C,D,B,D,D,C,A,C
5484342,A,A,B,C,A,B,A,C,A,A,D,B,D,A,A,A,D,B,B,A,B,C,A,A,C
6440729,B,A,B,A,B,D,D,A,A,C,A,B,C,C,A,C,A,B,D,A,C,D,C,C,C
19828806,B,A,B,C,A,C,A,B,D,B,B,B,A,B,B,B,C,B,C,B,C,C,C,C,C
6954668,A,A,B,A,D,C,D,B,D,C,D,C,C,C,D,B,B,B,D,B,C,D,D,C,C
4117545,B,A,B,A,B,C,D,B,D,B,A,B,C,C,D,B,A,B,D,B,D,D,C,C,D
20009729,A,A,B,A,B,C,D,B,D,C,A,B,C,A,C,B,A,B,D,D,D,D,B,C,D
