NIE,G1-MAT1,G1-MAT2,G1-MAT3,G1-MAT4,G1-MAT5,G1-MAT6,G1-MAT7,G1-MAT8,G1-MAT9,G1-MAT10,G1-MAT11,G1-MAT12,G1-MAT13,G1-MAT14,G1-MAT15,G1-MAT16,G1-MAT17,G1-MAT18,G1-MAT19,G1-MAT20,G1-MAT21,G1-MAT22,G1-MAT23,G1-MAT24,G1-MAT25,G2-MAT26,G2-MAT27,G2-MAT28,G2-MAT29,G2-MAT30
10074367,B,A,A,A,B,B,C,A,A,A,B,A,B,C,C,B,B,C,C,B,C,B,C,A,C,C,C,A,B,B
10032205,B,B,A,B,B,B,B,A,A,A,A,B,B,B,C,B,B,A,C,B,A,B,B,B,C,C,B,B,B,B
10069995,B,A,B,A,B,A,A,A,A,C,B,A,B,B,C,B,B,A,B,A,A,B,A,B,C,A,C,A,B,A
10075196,B,A,A,A,B,B,B,A,A,B,B,A,C,C,C,B,B,B,C,B,A,B,C,A,C,C,C,B,C,A
10184621,A,A,A,A,B,B,A,C,B,A,A,A,A,C,C,B,B,A,C,A,C,B,C,B,C,A,A,A,A,B
10334021,B,A,C,C,C,B,A,A,A,A,B,A,B,B,C,B,B,C,C,A,A,B,A,B,C,A,C,C,B,B
10049510,B,B,A,A,C,B,A,B,A,C,A,C,C,C,C,C,B,C,C,A,A,B,C,A,A,C,A,B,A,B
10301843,B,C,C,A,B,B,C,A,A,A,A,A,B,C,C,B,B,C,C,A,A,B,A,B,A,C,C,A,B,A
10452486,B,C,A,C,B,B,C,A,A,A,B,A,B,C,C,C,B,C,C,B,C,B,C,A,A,C,C,A,B,B
10301824,C,C,B,A,C,B,B,B,A,C,C,B,B,C,C,B,C,A,C,C,B,B,C,C,A,A,C,A,B,A
10195323,B,C,C,C,B,B,A,A,A,A,B,A,B,A,C,B,B,C,C,B,A,B,A,A,C,A,C,A,B,B
10541545,A,A,B,C,B,B,A,A,C,A,B,C,B,C,C,B,B,C,C,A,A,B,C,A,A,C,C,A,B,B
10630848,B,A,C,B,A,B,B,B,A,A,B,B,B,A,C,B,C,A,C,A,B,B,A,C,A,A,C,C,B,A
10651642,B,C,A,C,B,B,C,A,A,A,B,A,B,A,C,B,B,C,C,B,A,B,C,A,B,C,C,A,B,B
10334033,B,A,C,C,B,B,B,A,A,A,B,A,B,B,C,B,B,C,C,C,A,B,A,B,C,A,C,C,B,B
10324782,A,B,A,B,B,A,C,A,B,B,C,C,B,A,A,C,B,B,C,C,A,A,B,B,C,B,A,B,B,B
10354948,B,A,C,A,B,B,A,A,A,C,A,A,B,C,B,B,B,C,C,A,A,B,C,C,C,C,B,A,B,B
10326665,B,C,A,C,A,A,B,C,A,C,B,B,B,C,C,B,C,A,C,A,B,B,A,B,A,B,A,C,A,B
10473227,C,C,A,C,A,A,A,C,A,C,A,B,A,B,C,A,B,B,C,A,B,B,A,B,A,C,A,B,B,A
10326134,B,C,B,C,B,B,A,A,A,A,A,B,B,C,C,B,B,C,C,B,A,B,B,C,B,A,A,A,B,B
10078397,B,B,B,B,B,B,C,A,A,C,B,A,A,C,C,B,B,C,C,B,A,B,C,B,B,C,C,B,C,B
10079560,B,C,B,B,B,C,C,A,A,C,C,A,B,C,C,B,B,C,C,B,A,B,A,A,A,A,B,A,A,C
10081070,C,B,A,B,B,B,A,B,A,C,C,B,B,B,C,A,B,A,B,C,C,A,A,C,B,B,B,B,B,A
10078563,C,A,B,C,B,B,A,B,A,A,B,A,B,B,C,B,B,C,C,A,A,B,C,C,C,C,A,C,B,B
10080996,B,C,A,B,B,A,A,A,A,A,A,A,B,A,C,B,B,A,C,B,A,B,B,B,C,C,B,A,B,A
10079922,C,C,C,A,A,C,A,A,A,A,B,A,B,B,C,B,B,C,C,A,A,B,C,C,B,C,C,C,B,A
10325953,A,C,B,C,A,C,C,A,A,A,A,A,A,A,A,A,A,C,C,A,C,A,A,C,B,B,B,C,B,C
10325943,C,C,B,C,C,C,A,A,B,A,C,C,A,B,B,B,B,B,A,B,C,B,B,C,C,A,A,C,B,C
10326008,C,B,A,C,C,C,A,A,A,B,A,B,B,B,C,B,A,A,C,A,A,C,A,B,A,B,B,A,A,C
10477192,B,B,B,B,C,C,C,C,A,B,C,B,C,C,C,A,A,C,B,B,B,A,A,C,A,C,B,C,A,A
10326030,A,B,A,B,A,C,B,B,A,A,A,B,A,B,C,B,A,A,C,A,A,A,A,B,A,A,A,C,C,A
10326131,B,A,B,C,A,C,C,A,A,A,C,C,B,C,A,A,B,A,B,A,A,C,B,A,A,C,A,C,A,A
10319925,B,B,A,C,A,B,B,A,A,B,A,A,A,B,C,B,B,A,A,C,A,B,A,B,C,B,A,C,B,A
10407063,B,A,B,B,B,A,C,C,B,B,A,B,B,C,C,A,C,C,A,B,C,C,B,C,B,B,A,B,B,C
10386782,A,A,A,C,B,B,A,A,A,B,B,B,B,C,C,A,B,B,C,B,A,A,B,B,C,B,B,B,B,A
10305682,B,C,A,B,C,A,C,A,A,C,B,B,C,A,C,B,B,C,A,A,A,B,A,C,A,A,A,A,B,B
10475287,B,A,A,B,B,C,A,B,A,B,A,A,B,A,C,C,B,B,C,B,A,B,A,B,A,C,A,A,B,C
10477251,B,C,C,A,B,C,B,A,A,A,C,B,A,C,C,A,A,C,C,A,C,B,B,C,C,C,C,B,B,A
10193492,A,B,B,C,B,C,A,C,A,B,B,C,B,B,C,B,B,B,A,C,A,A,B,B,B,C,B,B,B,C
10473034,B,C,A,A,B,C,C,A,A,A,C,A,B,B,C,B,B,C,C,A,A,B,B,A,C,C,C,A,B,A
10331112,B,B,B,C,B,C,C,A,A,A,B,A,A,C,C,B,B,C,C,A,B,B,B,A,C,C,C,A,B,B
10473353,A,A,C,C,A,B,C,B,A,C,A,A,B,B,C,C,A,C,C,B,A,B,B,C,B,C,A,B,C,B
10079699,C,A,B,A,B,B,A,A,A,A,A,B,B,B,C,B,B,B,C,A,A,C,B,A,B,B,B,A,A,B
10193193,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,C,A,A,C,A,A,A,C,C,A,A,A,C
10616626,B,C,A,A,A,B,C,A,A,B,B,A,A,C,C,B,B,C,B,A,B,B,A,A,C,B,C,C,B,B
10476986,A,A,C,C,A,C,A,A,A,A,A,C,A,B,C,B,A,A,A,A,B,A,C,A,A,A,A,C,A,A
10326648,C,B,B,A,C,C,A,A,A,A,A,A,C,B,C,B,B,C,A,C,A,C,C,C,C,C,C,C,C,A
10326066,B,C,A,A,A,C,C,A,B,B,B,A,B,B,C,C,C,C,C,A,C,A,B,C,B,B,C,C,A,B
10473218,C,B,B,B,B,C,B,C,B,A,C,A,A,A,A,C,C,C,A,B,C,C,B,A,C,C,A,C,A,C
10079841,B,B,A,B,B,B,C,A,A,B,B,C,B,C,C,B,B,C,B,B,A,B,B,B,C,C,C,B,B,A
10608120,B,B,A,B,A,C,B,B,B,B,A,A,B,A,A,A,A,C,B,C,A,B,A,B,B,A,A,B,A,A
10034194,B,A,A,B,A,C,C,C,C,A,A,A,A,C,A,C,A,C,A,C,A,A,A,C,A,C,A,A,A,A
10193208,A,C,A,C,A,B,A,A,C,A,A,C,B,C,C,B,B,B,C,A,A,B,A,B,B,C,A,B,A,A
10325885,C,C,B,C,C,B,A,A,A,C,C,B,C,C,C,B,A,C,A,C,A,C,A,C,C,B,B,A,A,C
10294973,C,A,A,C,C,B,C,A,A,B,C,B,C,C,A,A,A,B,C,C,A,A,A,C,C,B,C,C,B,A
10526171,A,A,A,A,B,A,A,C,A,B,A,A,A,A,A,A,A,A,A,C,B,A,A,C,A,B,A,A,A,C
10642722,B,B,B,C,C,A,B,A,A,B,C,B,B,B,C,A,B,A,C,A,B,B,A,C,A,A,C,A,A,B
10473263,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,C,A,B,C,C,A,A,A,B,B,A,A,A,A,A
10006222,B,C,A,A,C,C,B,B,A,B,C,B,B,C,C,B,C,A,B,B,C,B,A,C,B,C,A,B,A,B
10078754,B,A,B,C,B,B,C,B,A,B,B,B,C,B,C,B,B,A,C,B,B,B,C,B,C,C,C,B,B,B
20379520,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
10477195,B,C,B,C,B,B,C,A,A,A,B,A,B,C,C,B,B,C,C,A,A,B,C,A,C,C,C,A,B,B
10006220,B,B,A,C,A,C,A,A,A,C,A,A,A,C,C,B,B,C,A,C,A,B,C,A,C,A,A,B,A,A
10325999,B,A,C,B,B,A,C,B,C,A,C,C,A,A,C,C,A,B,A,B,A,C,B,A,B,A,A,A,C,C
10085351,B,B,B,C,B,C,B,A,B,B,B,A,B,B,C,B,C,A,B,B,B,B,A,B,B,B,C,C,B,B
10039402,B,B,B,A,C,B,B,A,A,A,B,A,B,C,C,B,C,C,C,A,C,B,B,B,C,C,C,A,B,A
10387361,B,C,A,A,B,B,C,A,A,B,B,A,B,C,C,A,B,B,A,A,B,B,A,B,B,C,B,B,B,A
10325958,A,C,B,C,A,C,C,A,A,C,B,A,A,B,C,A,B,B,A,A,A,A,A,C,B,A,B,A,A,C
10324724,A,B,B,A,C,C,A,B,A,B,A,C,A,B,C,C,B,B,C,A,A,B,A,B,A,C,B,B,B,B
10092891,B,B,C,C,B,C,C,B,A,B,B,C,C,B,C,C,B,C,B,C,B,A,A,B,C,C,A,B,C,A
10285259,B,B,B,B,B,B,B,B,B,C,B,B,B,A,B,A,C,C,C,A,A,C,B,B,B,A,B,B,B,A
10285372,B,C,C,A,B,B,C,A,A,A,B,A,B,B,C,A,B,B,C,A,A,B,A,B,A,B,C,A,B,A
10158737,B,C,A,A,B,B,A,A,A,A,A,B,B,B,B,B,B,B,A,B,A,C,A,A,B,B,B,C,A,B
10052682,B,C,A,A,B,B,B,A,A,A,A,B,B,C,C,B,C,A,C,A,A,A,A,B,C,C,B,A,B,A
10040031,B,C,A,A,B,B,C,A,A,A,B,A,B,C,C,B,B,C,C,B,C,A,A,A,A,A,A,A,B,A
10503107,B,C,C,C,B,B,A,A,A,A,C,A,B,B,C,B,B,C,C,A,A,B,B,B,C,C,C,A,B,B
10503094,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
10294255,B,C,A,B,B,C,C,C,A,B,A,B,C,C,A,C,B,C,A,A,A,B,B,A,A,A,A,C,B,B
10503177,A,B,A,A,B,B,B,A,A,A,B,A,A,C,C,B,C,C,C,A,C,B,B,B,C,B,B,A,B,A
10285280,B,C,C,A,B,B,A,A,A,A,B,A,B,C,C,A,A,A,B,A,A,B,B,A,B,C,C,A,B,A
10503126,B,C,A,C,B,B,C,A,A,A,B,B,B,A,C,B,B,C,C,A,A,B,C,A,C,C,B,C,B,B
10285310,A,A,B,A,B,C,B,C,A,C,B,B,C,A,C,B,B,C,C,A,B,A,A,B,C,C,B,B,B,A
10285316,B,A,B,C,A,C,B,A,C,C,B,B,B,B,C,C,B,C,B,A,B,B,B,B,B,B,B,B,B,C
10011115,B,C,B,C,C,B,B,C,B,C,C,C,C,B,C,C,B,C,C,B,B,B,C,C,B,C,C,C,C,C
10286136,A,B,B,B,C,B,C,B,A,B,B,B,B,C,B,A,C,A,A,C,C,B,B,A,C,C,C,A,C,B
10169160,B,B,C,A,B,B,B,B,A,A,C,A,B,A,C,B,B,C,C,A,A,B,A,A,C,C,B,A,B,B
10503148,A,B,C,C,A,A,C,C,A,B,B,C,B,C,C,C,B,B,C,C,B,A,A,A,B,A,C,B,B,C
10285362,B,C,C,A,B,B,A,A,A,A,B,A,B,C,C,A,A,A,C,A,A,B,B,A,B,C,C,A,B,A
10621078,B,C,C,A,B,B,A,B,A,A,A,B,B,B,C,B,B,B,C,A,A,B,B,A,A,C,B,C,B,C
10285843,B,C,A,C,B,B,C,A,A,B,A,A,B,C,C,B,C,C,C,C,B,B,B,A,B,C,C,B,B,A
10011354,B,B,B,B,B,A,B,A,A,B,A,C,B,B,C,C,B,B,A,A,B,C,A,B,B,C,A,B,C,C
10503218,B,C,A,C,B,B,C,A,A,A,B,A,B,B,C,B,B,C,C,B,A,B,C,A,C,C,C,A,B,B
10346883,B,C,B,A,B,B,B,B,B,C,A,B,B,B,B,B,B,A,C,B,A,B,B,C,B,B,C,B,C,B
10051613,A,A,C,B,B,C,C,B,A,B,A,B,C,C,C,C,A,C,A,C,A,B,B,B,A,A,A,B,A,A
10042764,C,C,B,A,C,B,B,A,B,C,A,C,A,C,C,B,B,C,B,B,A,B,B,B,A,C,B,C,B,C
10285892,C,C,B,B,B,C,C,C,B,B,B,C,B,B,A,B,B,C,A,C,C,B,C,B,C,C,B,C,B,B
10342949,A,C,A,B,A,C,C,B,A,C,A,B,C,B,C,C,B,A,C,B,A,C,A,C,B,A,C,A,A,B
10285326,B,C,C,C,B,B,C,A,A,A,C,A,B,A,C,B,B,C,C,B,A,B,A,B,C,C,C,A,B,B
10611741,B,C,A,A,B,A,C,B,A,B,C,C,B,B,C,B,B,B,A,A,A,B,A,C,A,C,A,C,A,C
