NIE,G1-MAT1,G1-MAT2,G1-MAT3,G1-MAT4,G1-MAT5,G1-MAT6,G1-MAT7,G1-MAT8,G1-MAT9,G1-MAT10,G1-MAT11,G1-MAT12,G1-MAT13,G1-MAT14,G1-MAT15,G1-MAT16,G1-MAT17,G1-MAT18,G1-MAT19,G1-MAT20,G1-MAT21,G1-MAT22,G1-MAT23,G1-MAT24,G1-MAT25
20292379,B,A,B,D,B,B,D,B,C,B,C,D,C,D,B,C,A,C,B,B,B,D,C,B,D
10106700,B,B,A,D,A,A,D,B,B,B,C,C,B,D,A,A,A,C,D,C,D,B,C,B,B
20139944,B,B,A,D,B,C,B,A,B,A,A,B,B,C,A,B,B,B,A,B,B,A,B,D,B
20215083,C,C,C,C,C,C,C,D,D,C,B,A,D,C,D,D,D,A,A,B,D,D,B,B,D
20398410,B,B,A,B,B,C,C,C,C,B,B,D,B,D,B,B,C,B,C,A,A,A,A,A,A
10054827,B,C,A,B,B,B,A,C,B,C,C,B,D,D,C,B,B,C,D,A,D,B,C,C,C
10087600,B,D,B,A,A,A,A,C,C,A,C,D,C,C,A,A,C,B,B,B,A,A,C,A,D
20396866,B,A,A,C,D,B,A,C,C,B,C,C,B,A,A,C,A,D,B,C,A,D,C,B,D
10044625,C,C,A,D,A,A,D,C,C,B,C,B,A,D,C,B,C,B,C,B,D,B,D,D,B
10043065,B,A,A,D,A,A,D,C,D,B,C,D,A,D,A,C,A,C,A,A,A,B,A,A,B
10025395,C,A,B,D,A,A,D,C,D,B,C,D,A,D,D,B,B,C,C,A,A,B,C,C,B
20396873,B,A,A,D,A,C,D,C,B,B,C,B,A,D,C,B,D,C,B,A,D,B,A,B,D
10050170,D,A,B,A,B,C,D,C,B,B,D,B,D,C,C,D,A,C,A,D,D,B,C,D,B
10131518,B,A,B,C,A,A,D,C,A,D,D,C,C,D,A,B,A,D,C,B,A,A,C,A,D
20398421,B,A,A,D,A,A,D,C,C,B,C,B,C,D,C,B,C,C,B,A,D,B,A,A,D
20396879,B,A,A,D,A,A,D,C,A,D,C,B,A,A,A,B,A,D,B,A,D,D,A,C,B
20189240,B,A,A,B,A,B,C,A,C,B,C,D,A,D,B,A,A,B,D,C,C,D,A,A,C
10468075,A,A,B,A,D,D,D,C,C,B,C,B,B,A,B,B,B,C,B,A,D,B,A,C,A
10467884,B,D,A,C,A,D,A,C,C,B,A,D,A,D,A,A,C,C,A,A,B,B,A,B,D
10348499,B,A,A,D,A,A,D,C,C,B,C,C,A,D,C,B,B,D,D,D,D,B,B,D,D
10044559,B,A,A,D,A,A,D,C,C,B,C,B,A,D,B,B,C,B,B,B,D,B,D,D,B
10147294,B,B,A,A,A,B,D,C,C,A,A,B,A,D,B,A,B,C,B,B,D,B,A,B,D
20396890,B,A,A,D,B,A,B,C,C,D,B,D,A,D,A,A,A,B,B,C,D,D,C,A,D
20386636,B,A,A,D,A,A,D,C,C,B,C,C,A,D,C,B,C,C,C,A,D,B,D,D,B
10514940,B,D,A,A,A,A,C,B,C,B,C,B,A,D,C,B,D,D,D,D,D,B,D,C,D
20409906,A,A,A,D,A,A,A,C,D,A,A,D,D,B,D,C,A,D,A,D,A,D,A,D,D
10025960,B,A,A,D,A,A,C,C,B,B,D,D,D,D,C,B,B,C,D,A,A,B,A,A,D
10419543,B,A,B,C,D,D,A,B,B,D,A,D,D,D,A,B,A,C,C,D,D,B,A,A,D
10468224,B,A,B,D,A,C,B,C,A,A,A,B,C,A,A,C,B,D,D,B,B,B,A,A,A
10148285,B,A,A,D,B,A,C,C,C,A,A,C,A,D,B,B,A,B,D,A,D,B,D,A,B
20297529,B,B,B,A,A,A,A,C,D,A,C,B,C,D,C,B,C,C,D,C,D,A,C,C,A
20333129,B,A,D,A,B,A,A,A,B,C,C,C,C,B,A,A,A,C,A,D,A,D,C,C,B
10010064,B,A,B,D,A,B,C,B,D,B,D,B,B,A,B,D,D,D,B,A,C,D,A,A,D
20309301,B,A,A,D,A,B,C,B,A,B,C,D,A,A,B,B,A,C,D,A,D,B,A,C,A
10381592,B,A,B,A,A,B,A,C,D,D,D,B,C,C,C,B,A,B,A,A,D,B,D,B,B
10176963,B,A,A,D,A,A,A,C,D,B,D,B,B,D,D,B,D,B,D,A,D,B,D,A,A
10468144,B,D,A,D,A,B,C,B,B,D,B,D,C,D,B,B,A,A,B,B,D,D,C,C,B
10123744,B,A,B,D,A,B,D,B,B,A,C,D,A,D,B,B,B,C,D,D,D,B,D,C,D
10286706,A,A,A,A,A,A,B,B,B,A,A,A,A,A,B,B,A,B,A,B,C,C,A,A,A
10038715,D,B,A,B,B,B,C,B,B,B,C,C,C,B,D,B,B,B,A,A,B,D,B,A,B
20317258,B,A,A,D,D,A,C,A,C,B,C,B,A,D,D,B,B,B,C,D,A,D,A,C,A
10286725,A,A,A,B,B,A,B,B,A,D,B,B,A,B,B,C,A,C,A,B,A,B,C,A,A
19898189,B,A,A,D,A,A,D,C,C,B,C,B,A,D,C,B,A,B,C,A,D,B,D,C,D
20297479,B,A,B,D,A,B,D,C,D,C,C,D,C,A,B,B,A,C,D,A,D,B,A,C,D
10286715,B,A,D,D,C,D,C,B,B,A,C,D,A,D,C,C,B,C,D,A,B,B,A,D,D
10021187,D,D,C,D,B,D,A,C,B,A,A,A,B,A,D,C,A,A,C,C,B,D,A,A,B
10045268,B,B,A,D,C,A,D,B,A,B,D,C,A,D,D,A,B,C,D,A,D,D,A,C,A
20312817,B,A,A,D,A,A,D,C,C,A,C,D,A,D,C,B,A,A,D,A,D,B,A,B,D
10510805,A,C,C,B,D,C,B,A,B,C,C,A,A,D,D,C,B,D,C,D,B,D,A,B,B
20297918,B,A,B,D,A,A,D,A,D,B,C,B,A,D,C,B,C,C,D,B,D,B,D,A,D
10057602,B,C,A,C,C,D,A,A,A,A,A,A,D,D,A,B,A,D,A,A,A,A,C,A,B
20297963,B,B,B,D,A,B,D,B,B,A,B,B,A,D,B,B,B,C,D,D,D,B,A,D,D
10380323,B,D,B,B,B,D,C,A,B,A,B,D,B,D,B,B,A,C,A,B,D,B,C,A,D
10178973,A,A,B,D,A,B,C,B,B,C,A,D,A,A,A,B,A,C,D,C,D,C,C,A,B
20398404,A,A,B,B,B,B,C,B,C,A,C,C,D,A,A,D,A,C,B,B,B,D,C,C,A
20409585,B,A,A,D,A,B,C,A,C,B,D,D,A,D,C,B,B,B,D,B,D,B,A,A,C
10037988,B,D,C,A,A,A,B,D,C,A,A,D,A,A,B,A,A,C,D,A,C,A,A,B,A
10044221,C,C,C,B,C,A,A,A,A,D,B,A,B,A,C,D,D,C,B,C,B,C,C,B,A
10320297,B,A,A,D,A,A,D,A,C,B,C,D,A,D,C,B,A,C,D,B,D,B,C,D,D
20377030,B,A,A,D,A,A,D,D,B,B,C,B,A,D,C,B,A,C,D,D,D,B,A,D,D
10354331,A,D,A,B,C,A,C,D,A,A,B,A,D,C,A,A,A,B,A,B,A,D,B,A,A
20216994,B,D,A,C,C,A,D,C,A,C,B,D,A,A,B,A,B,B,B,B,A,B,A,B,C
10045913,C,A,C,C,A,C,C,A,B,B,B,C,D,B,C,C,C,B,C,B,D,B,D,C,D
20359985,A,A,A,A,D,A,A,A,D,C,D,C,A,B,B,A,A,B,B,A,A,A,A,C,A
10038315,B,A,D,D,A,A,D,B,C,B,D,B,A,B,C,B,B,B,D,A,D,B,C,A,D
20409379,B,D,B,C,A,A,A,B,C,A,D,C,D,D,A,C,A,A,A,B,A,D,A,B,B
10176515,A,A,C,B,B,B,B,D,C,A,A,A,C,A,C,B,C,A,B,C,C,D,A,B,D
10103757,A,A,B,D,A,A,C,B,C,B,D,C,A,C,C,C,A,C,C,B,D,B,C,A,A
20195015,B,A,A,D,A,A,D,C,C,B,C,B,C,D,C,A,A,C,D,B,D,B,C,D,D
10151348,A,A,B,A,A,A,A,B,D,A,A,D,B,A,A,D,A,D,A,C,A,C,A,C,D
10064018,B,C,C,D,A,A,C,A,C,A,A,D,C,D,C,B,A,C,B,B,B,D,B,A,D
20094521,B,A,B,C,B,C,B,B,C,D,B,D,C,D,C,C,B,D,B,D,D,C,C,A,A
10100319,B,A,B,C,A,A,C,C,C,A,D,B,A,B,A,D,D,C,D,C,D,B,D,B,A
10286700,A,C,B,C,A,C,B,A,D,A,B,D,C,C,A,B,B,B,D,D,A,C,A,B,D
20035214,B,B,B,C,A,D,A,C,C,A,A,D,B,A,C,C,C,C,D,A,C,D,A,D,A
10478207,B,A,B,D,A,A,D,C,C,A,C,D,A,D,C,B,B,B,B,B,D,B,D,C,D
10186211,B,A,A,D,A,A,D,D,C,A,D,D,A,D,C,A,A,D,D,C,D,B,A,B,D
10075008,B,A,B,D,A,A,D,C,B,C,D,D,A,D,C,B,A,A,C,C,D,D,C,A,B
20129514,B,A,A,D,C,B,A,B,C,B,C,C,B,D,B,B,B,C,D,A,C,B,A,A,D
10073011,B,A,A,D,A,B,D,C,C,B,C,C,A,D,C,C,B,C,D,C,D,B,C,A,D
20203749,B,A,B,D,A,A,D,B,C,B,B,B,A,D,C,B,A,C,D,B,D,B,C,C,D
10070969,B,A,A,D,A,A,D,C,C,A,C,B,A,A,C,B,A,C,D,A,D,B,C,C,A
20333165,D,C,B,C,B,B,C,D,B,A,D,C,D,D,A,A,A,C,B,D,C,D,A,A,C
20357572,A,D,A,A,A,A,C,B,A,C,D,A,A,A,D,A,B,B,A,C,D,D,A,A,A
10020879,B,A,B,D,A,A,D,C,C,A,C,D,A,B,A,B,A,C,B,B,D,B,A,C,D
20309366,B,A,A,D,A,A,D,C,C,C,C,C,A,D,D,B,B,C,D,A,A,B,C,C,D
10344596,B,B,A,C,A,B,C,D,B,B,D,D,C,B,A,B,A,B,D,C,D,A,B,D,D
20311576,A,B,A,C,C,C,B,A,A,B,B,A,A,D,D,B,B,D,A,C,A,A,A,A,A
10107254,B,A,B,D,A,A,D,C,C,B,C,D,A,D,C,B,A,C,D,C,D,B,A,B,D
20357573,B,A,B,D,C,A,D,D,C,B,C,C,A,A,B,A,A,D,D,B,D,B,D,B,A
10181572,A,A,B,D,B,A,D,D,C,A,C,B,A,A,C,B,D,C,A,B,D,B,A,A,A
10070378,B,A,A,D,A,A,D,B,C,B,C,B,A,D,C,D,D,C,D,C,D,B,A,D,A
20309431,B,A,A,D,A,B,D,C,C,B,C,D,A,D,C,B,A,D,D,C,D,C,C,B,A
10078620,B,A,A,D,B,B,D,C,A,B,A,D,A,D,B,B,A,C,D,B,D,D,C,A,D
20230812,D,A,A,D,D,C,B,C,A,C,B,B,C,A,C,B,D,B,A,D,D,C,D,D,D
20386408,B,A,B,D,A,B,D,C,C,C,D,D,D,C,C,B,A,C,D,A,D,A,C,B,D
10078992,B,A,B,D,A,A,D,D,B,A,D,D,A,B,C,B,A,C,D,B,D,B,C,C,D
10145462,B,A,A,D,A,B,D,C,C,B,C,B,B,D,B,B,B,C,D,A,A,B,D,C,D
10079692,B,A,A,D,A,B,D,B,C,B,C,C,B,A,C,B,A,B,D,A,D,B,C,C,D
10078892,B,D,A,C,B,D,D,C,B,C,A,B,A,A,D,B,B,C,D,B,D,B,A,B,D
10150114,B,A,A,D,A,A,D,C,C,B,C,B,A,D,C,B,A,C,D,A,D,B,A,B,A
10089355,B,B,B,D,A,B,B,B,C,C,C,B,A,D,B,B,B,C,A,C,D,C,B,B,D
20386594,B,A,A,D,A,A,D,D,B,B,D,C,C,D,B,A,A,C,A,A,D,D,C,D,A
