NIE,G1-MAT1,G1-MAT2,G1-MAT3,G1-MAT4,G1-MAT5,G1-MAT6,G1-MAT7,G1-MAT8,G1-MAT9,G1-MAT10,G1-MAT11,G1-MAT12,G1-MAT13,G1-MAT14,G1-MAT15,G1-MAT16,G1-MAT17,G1-MAT18,G1-MAT19,G1-MAT20,G1-MAT21,G1-MAT22,G1-MAT23,G1-MAT24,G1-MAT25,G2-MAT26,G2-MAT27,G2-MAT28,G2-MAT29,G2-MAT30,MATEMÃ_x0081_TICA Y DATOS,contar
19997896,A,D,A,D,C,A,A,B,B,C,C,D,D,C,B,A,D,D,A,D,C,A,A,A,B,C,D,C,A,A,13,30
19997894,D,B,A,A,B,A,A,C,B,C,C,D,B,C,B,A,B,C,A,B,C,B,C,C,A,C,D,A,C,A,20,30
20291474,A,D,A,B,B,A,A,B,B,C,C,D,D,B,D,A,B,D,A,D,C,B,B,D,C,A,B,C,A,A,12,30
20095991,B,C,A,C,B,A,A,A,B,A,C,D,A,B,C,A,C,C,A,D,C,B,B,C,A,C,D,D,C,A,13,30
10077405,D,D,A,B,C,D,A,B,B,C,C,B,B,C,A,A,B,B,A,A,A,B,D,C,C,C,D,A,C,C,23,30
20174659,C,B,D,B,A,A,B,D,D,C,C,D,B,D,A,A,C,D,A,B,B,D,A,A,C,C,D,D,B,D,12,30
20097109,D,D,A,B,B,A,A,A,B,A,C,D,C,C,C,A,B,D,A,B,C,A,A,D,A,D,A,A,B,B,17,30
20097297,A,C,B,A,B,D,B,A,C,A,A,D,A,A,B,A,B,B,A,C,D,B,C,B,B,A,C,A,D,B,8,30
20097076,B,D,A,A,A,A,D,C,B,C,C,D,A,B,A,A,B,A,A,D,A,B,A,C,A,C,D,C,A,C,17,30
10067015,B,D,B,A,B,A,B,C,B,B,C,A,C,C,C,A,C,B,A,C,C,B,C,B,C,C,D,A,A,B,14,30
20281771,D,D,A,D,C,D,A,A,B,C,D,B,B,C,A,A,B,B,A,C,A,C,D,D,C,C,A,A,C,C,19,30
20097347,A,D,A,B,D,A,A,C,B,A,A,D,B,C,A,A,D,D,A,B,D,A,D,A,A,B,D,A,A,D,15,30
20304571,A,B,A,B,A,A,A,A,B,B,A,D,D,B,B,A,A,B,A,B,B,A,B,A,B,B,A,A,D,A,11,30
20097587,A,C,A,A,A,A,D,A,A,C,C,D,B,A,A,A,B,D,A,C,D,A,D,D,A,A,D,B,B,D,13,30
10003360,D,B,A,A,C,C,B,B,B,B,C,A,A,C,A,A,B,D,A,A,A,B,C,C,B,C,D,A,B,C,20,30
10019206,C,D,A,D,C,A,A,B,B,B,C,D,B,A,B,A,C,D,A,B,C,B,B,C,A,B,D,A,C,C,17,30
20098274,B,D,A,B,B,A,C,A,B,A,C,D,B,B,B,A,A,A,A,A,D,A,C,A,C,B,C,A,A,C,13,30
20098524,D,D,B,D,A,A,A,B,B,B,D,A,B,A,A,A,B,D,A,B,A,B,C,C,A,C,D,A,B,C,22,30
19863322,B,D,A,B,D,B,A,B,C,B,C,A,A,A,B,A,B,B,A,C,B,B,A,C,B,B,D,A,A,D,14,30
20098397,A,D,A,B,C,A,A,A,C,C,C,D,B,B,A,A,B,A,A,C,A,A,B,A,A,B,D,A,C,A,18,30
10024331,A,A,B,A,A,A,A,C,B,A,D,C,B,A,A,A,B,C,A,C,D,A,B,B,B,B,D,B,D,B,9,30
20098860,C,C,B,B,B,C,B,A,B,C,A,D,B,B,C,A,B,B,B,C,C,B,B,B,B,A,A,B,B,B,10,30
20099421,B,D,A,B,C,A,A,A,B,C,C,A,B,B,B,A,B,D,A,C,D,C,D,B,A,B,C,C,B,A,17,30
20100017,B,D,A,A,B,A,A,A,B,B,D,C,B,B,A,A,B,C,A,A,A,A,D,A,A,B,B,A,A,C,15,30
20228720,C,D,A,C,C,D,A,A,A,B,C,D,C,A,C,A,B,D,A,C,D,B,C,C,A,C,D,D,B,C,17,30
20292215,B,B,B,B,B,C,A,B,B,B,C,D,C,B,B,A,C,C,A,C,B,B,A,B,B,C,B,B,B,B,9,30
20100436,D,D,A,A,D,A,A,B,B,C,C,B,B,B,A,A,B,C,B,B,A,B,C,C,A,C,D,A,C,C,22,30
7281471,A,A,A,B,B,B,A,A,C,A,A,A,B,A,A,B,B,B,A,A,B,A,B,A,A,A,A,A,A,B,12,30
20097001,D,A,B,B,C,D,A,B,C,B,D,D,B,B,D,A,B,B,A,B,A,B,C,B,C,B,B,A,D,B,14,30
20099040,D,D,A,B,C,C,A,B,B,B,C,D,B,A,A,A,C,D,A,B,B,B,B,D,A,A,D,C,D,B,16,30
19863271,B,D,A,A,A,A,D,D,A,A,C,D,D,A,A,A,C,B,A,D,A,A,D,A,A,B,B,A,D,D,11,30
19713018,B,C,B,A,A,B,A,B,B,C,C,B,B,B,C,B,A,B,C,B,B,A,B,B,A,B,A,D,B,B,9,30
20100524,A,D,A,A,A,A,B,C,B,B,B,D,B,A,A,A,A,A,A,A,B,B,A,B,B,A,A,A,B,B,11,30
20100502,C,B,C,A,B,A,B,B,B,A,C,D,B,B,B,A,B,B,B,C,C,A,A,B,B,C,B,B,B,B,9,30
20097617,D,D,B,A,A,A,A,A,C,A,C,A,B,B,B,A,B,B,A,C,D,A,D,A,B,A,D,C,A,C,14,30
7281474,A,D,C,A,C,D,A,B,B,A,B,D,C,A,B,A,C,D,A,B,A,B,D,B,A,C,D,A,C,C,14,30
19928198,A,C,D,A,B,C,D,A,A,A,C,A,C,A,A,A,A,D,A,C,B,B,B,D,A,B,B,A,C,B,9,30
19885457,A,A,C,D,A,A,C,B,A,B,C,B,D,A,A,A,C,C,A,C,D,B,D,D,C,C,A,C,A,A,7,30
19863316,C,C,C,A,A,C,D,B,A,A,B,A,B,B,C,A,B,C,A,D,A,A,B,A,B,B,A,C,B,B,7,30
19713030,A,C,B,B,C,B,B,C,B,C,A,C,C,B,D,B,C,A,B,A,C,B,C,C,B,B,B,C,C,B,7,30
20129058,C,B,A,D,C,C,C,C,C,A,C,C,B,C,A,A,A,C,A,A,B,A,C,D,A,C,C,D,A,A,11,30
20129062,D,D,A,B,A,A,A,C,B,C,C,D,B,A,D,A,B,B,A,C,C,D,D,C,A,C,D,B,D,A,18,30
10033206,D,D,A,A,A,D,A,B,D,C,C,A,B,B,D,B,D,B,A,A,A,B,D,C,A,C,B,C,A,C,16,30
20095760,C,C,A,C,B,A,A,A,B,C,C,D,B,B,A,A,C,A,A,A,A,B,B,C,A,B,D,A,D,D,17,30
20084146,B,B,A,B,A,C,B,B,A,A,A,C,B,A,B,A,B,B,A,B,B,A,B,B,B,B,B,D,B,C,10,30
20254210,D,D,A,A,C,A,A,A,B,B,C,D,B,C,A,A,B,D,A,B,A,B,C,D,A,C,D,A,B,C,25,30
20095781,D,D,C,B,A,D,A,B,A,C,D,D,D,B,A,A,C,A,B,C,B,A,B,D,B,B,A,B,D,C,8,30
10153128,A,D,A,B,B,C,A,A,C,D,A,D,A,A,B,A,A,B,A,C,C,A,D,C,B,A,D,A,B,C,13,30
19859345,B,D,B,D,B,A,D,A,B,C,C,D,D,C,C,A,C,D,C,C,C,C,D,C,B,C,B,A,D,C,12,30
19815596,C,C,A,C,B,A,A,A,B,A,C,D,D,A,C,A,C,B,A,A,A,C,B,C,B,A,A,B,A,A,11,30
20104813,D,D,A,B,B,A,C,B,B,B,C,A,B,B,A,A,B,C,A,B,A,B,C,C,A,C,D,A,B,C,24,30
20129132,D,D,A,A,A,A,A,A,A,B,D,D,D,A,C,A,B,D,A,B,A,B,C,C,A,A,A,B,C,A,15,30
5105026,D,C,A,B,D,A,A,B,B,A,C,A,B,B,A,A,A,B,A,B,A,B,C,B,A,C,B,C,B,B,20,30
19896411,B,B,C,C,C,B,C,C,C,B,B,B,C,A,B,C,B,D,C,C,C,B,C,C,C,D,D,B,C,C,7,30
7322198,C,C,B,C,A,B,A,A,B,A,C,A,B,B,B,A,B,A,B,C,B,A,B,C,B,C,D,A,C,A,12,30
19980363,D,D,A,A,A,C,A,D,B,C,A,D,B,C,C,A,B,B,A,B,C,B,C,C,A,A,D,A,C,A,19,30
19893723,A,D,A,D,A,A,A,A,A,A,C,A,C,A,A,A,C,A,A,A,A,B,B,A,B,C,A,A,D,B,14,30
20119802,A,D,B,A,C,C,A,A,B,A,B,D,B,B,A,A,C,D,A,C,D,B,B,D,C,B,D,A,A,D,12,30
20140788,B,C,D,C,A,B,A,D,C,B,B,B,A,C,D,A,C,A,A,A,A,D,B,A,A,B,A,B,D,A,6,30
20118450,D,D,B,B,A,A,A,B,C,B,A,D,B,B,B,A,B,B,A,D,B,B,B,D,C,A,D,D,C,A,12,30
20113573,D,B,C,B,B,B,B,D,C,B,D,C,D,C,B,B,B,B,B,C,B,C,C,A,B,C,C,B,C,D,7,30
20217027,A,D,B,A,D,A,B,A,B,B,C,A,D,A,A,A,A,A,A,C,A,C,D,A,A,A,D,A,D,A,13,30
7119272,C,B,D,D,D,C,C,B,C,D,B,D,C,D,C,D,D,D,D,C,D,D,D,C,D,B,C,D,D,D,1,30
19980790,D,C,B,B,A,A,A,C,B,C,C,D,B,A,B,A,B,B,A,B,A,A,C,C,A,C,D,A,A,B,20,30
19846808,D,B,A,B,A,C,C,C,C,A,C,C,B,C,B,A,D,C,A,B,A,C,C,A,C,B,A,B,C,A,11,30
20168675,C,D,C,B,B,D,B,B,C,A,C,B,C,C,D,D,C,C,D,C,D,A,C,B,C,D,C,D,B,C,7,30
10234914,A,D,A,C,B,A,C,A,C,A,D,D,A,C,A,C,A,A,A,B,A,A,B,C,A,C,B,A,C,A,13,30
20035251,A,D,D,A,A,A,A,A,D,A,D,D,B,B,D,C,A,D,A,A,B,A,A,D,B,C,D,C,D,D,8,30
20061617,D,D,B,A,A,A,B,A,D,A,B,D,B,A,B,B,B,D,A,B,A,B,C,D,B,C,B,D,C,A,12,30
20206671,B,C,B,C,C,B,A,D,C,C,D,A,B,A,B,A,A,C,D,D,B,C,C,C,C,B,C,C,D,D,8,30
5362305,D,D,A,A,C,D,C,C,C,C,A,D,C,C,B,D,C,D,B,D,A,B,A,B,B,C,C,D,D,C,10,30
20113523,D,D,A,B,C,C,A,A,B,C,C,A,B,C,A,A,B,D,A,B,A,B,C,C,A,C,D,A,C,C,27,30
20216911,D,D,A,B,C,C,C,A,B,C,C,A,B,C,A,A,B,D,A,B,A,B,C,C,A,C,D,A,B,C,27,30
20271640,D,D,A,B,C,C,A,A,B,C,C,A,B,C,A,A,B,D,A,B,A,B,C,C,A,A,D,A,B,B,26,30
10233686,D,D,A,B,D,C,A,A,B,C,C,A,B,B,A,A,B,C,A,B,A,B,C,C,C,C,C,A,C,D,22,30
20236380,D,D,A,B,C,B,A,A,B,C,C,A,B,C,A,A,B,D,A,B,A,B,C,C,A,C,D,A,B,C,28,30
20216894,D,D,A,B,C,C,A,A,B,C,A,A,B,C,A,A,B,D,A,B,A,B,C,C,A,A,A,B,B,A,23,30
