NIE,G1-MAT1,G1-MAT2,G1-MAT3,G1-MAT4,G1-MAT5,G1-MAT6,G1-MAT7,G1-MAT8,G1-MAT9,G1-MAT10,G1-MAT11,G1-MAT12,G1-MAT13,G1-MAT14,G1-MAT15,G1-MAT16,G1-MAT17,G1-MAT18,G1-MAT19,G1-MAT20,G1-MAT21,G1-MAT22,G1-MAT23,G1-MAT24,G1-MAT25
19931347,A,D,B,A,A,D,B,A,A,A,A,A,B,A,B,B,B,C,B,A,D,B,D,B,D
20053963,D,C,D,D,D,D,B,B,A,B,A,A,B,D,C,A,C,D,A,B,A,B,C,B,D
19902898,C,C,C,D,D,B,A,B,C,C,C,A,B,C,C,A,C,C,C,C,B,B,D,C,C
19861273,D,D,D,C,B,B,A,D,D,B,C,D,D,C,C,B,C,C,C,A,C,B,C,B,D
20154415,A,C,B,A,D,D,D,D,D,B,A,A,B,A,C,B,D,C,C,A,D,A,D,A,B
19774089,A,C,B,D,A,B,D,B,A,B,C,C,D,D,B,B,C,A,A,C,B,C,B,B,B
20195685,C,A,B,A,D,B,A,B,A,A,B,A,B,A,C,A,C,A,A,B,A,B,A,B,B
20136092,B,A,D,D,A,A,A,D,D,D,C,C,B,A,A,A,C,C,B,A,B,B,A,A,C
19943923,C,C,B,C,C,D,C,B,C,C,C,D,B,C,B,B,C,C,C,B,C,B,B,B,A
20065741,A,B,A,D,D,A,A,C,C,D,C,D,B,A,B,D,C,A,C,B,B,C,D,B,C
4211322,C,C,B,A,D,B,B,D,C,C,D,A,C,C,B,B,C,B,B,D,B,C,A,B,B
20052606,B,C,D,B,A,D,C,A,D,C,C,D,A,B,C,D,D,D,B,B,C,C,C,B,B
19996074,A,B,B,A,C,A,B,B,C,C,B,B,B,D,B,A,C,B,C,A,C,B,B,B,B
20080387,C,D,D,A,C,A,D,D,B,B,A,A,D,C,A,A,C,A,A,A,A,A,D,B,A
20298899,C,C,A,D,C,C,A,A,D,D,A,B,D,B,D,B,B,D,D,B,B,B,A,B,A
19945066,B,D,A,A,D,A,B,D,A,B,B,A,B,A,B,B,A,A,D,C,D,B,A,A,C
