N°,NIE,G1-MAT1,G1-MAT2,G1-MAT3,G1-MAT4,G1-MAT5,G1-MAT6,G1-MAT7,G1-MAT8,G1-MAT9,G1-MAT10,G1-MAT11,G1-MAT12,G1-MAT13,G1-MAT14,G1-MAT15,G1-MAT16,G1-MAT17,G1-MAT18,G1-MAT19,G1-MAT20,G1-MAT21,G1-MAT22,G1-MAT23,G1-MAT24,G1-MAT25
1,7089328,A,A,D,C,B,B,B,B,B,B,C,B,B,B,D,C,D,A,A,D,B,A,A,C,B
2,2305775,C,D,B,D,B,C,D,A,D,C,A,B,C,C,D,B,A,C,D,B,D,A,D,B,D
3,5452208,B,D,B,B,B,C,B,A,B,A,B,B,B,C,C,B,A,B,A,B,C,C,D,C,A
4,5358614,C,B,B,C,C,C,C,C,C,C,D,C,C,A,C,C,C,C,D,B,B,B,A,A,C
5,3195492,C,D,B,A,D,C,C,D,D,C,B,C,D,B,B,B,B,D,C,D,D,C,B,A,B
6,7281499,B,B,B,A,A,C,C,B,D,C,A,B,C,C,D,B,B,D,D,B,C,D,D,A,D
8,4770502,C,A,A,D,D,B,A,A,D,C,A,A,C,C,C,D,A,B,D,B,D,A,D,A,D
9,3982116,A,C,A,D,C,B,D,B,D,B,C,A,D,A,A,D,D,B,A,C,C,B,C,B,A
10,2935257,B,B,B,A,D,C,D,B,D,C,A,B,C,C,D,B,A,B,D,B,D,D,C,B,C
11,20358280,B,D,A,D,D,A,B,D,B,B,A,C,A,C,B,B,C,A,C,A,B,A,D,C,C
12,5102796,B,B,C,C,B,B,C,C,A,C,D,B,A,B,C,B,C,B,D,D,D,C,C,D,D
13,5004234,C,A,A,C,B,B,D,D,C,A,B,C,D,C,C,A,C,B,B,A,D,A,B,B,A
14,5004251,C,B,B,B,B,C,B,A,B,B,A,C,C,C,B,C,A,B,B,B,B,B,C,C,B
15,3195495,B,C,C,C,D,B,A,B,B,C,B,C,A,C,D,C,B,B,A,A,C,C,A,A,B
16,3195484,B,B,A,D,B,D,B,B,C,A,B,B,D,C,D,A,A,D,A,A,D,A,B,C,D
17,7281505,B,D,B,A,B,C,D,B,D,C,B,C,C,B,B,B,B,C,D,B,D,D,C,A,C
18,3982113,D,D,B,A,C,C,D,B,D,D,A,B,C,D,D,B,C,B,D,B,D,D,C,B,D
19,19863333,B,A,B,B,B,C,D,B,D,C,A,B,B,C,D,B,B,B,D,B,C,D,C,C,D
20,2935293,A,B,B,D,B,A,C,C,A,B,D,D,D,A,B,C,A,B,C,C,B,C,C,B,C
21,5004241,D,B,B,C,C,B,A,B,C,D,D,B,B,B,B,D,C,D,A,B,A,D,C,B,D
