N°,NIE,G1-MAT1,G1-MAT2,G1-MAT3,G1-MAT4,G1-MAT5,G1-MAT6,G1-MAT7,G1-MAT8,G1-MAT9,G1-MAT10,G1-MAT11,G1-MAT12,G1-MAT13,G1-MAT14,G1-MAT15,G1-MAT16,G1-MAT17,G1-MAT18,G1-MAT19,G1-MAT20,G1-MAT21,G1-MAT22,G1-MAT23,G1-MAT24,G1-MAT25
1,10074367,B,B,B,B,A,A,B,C,C,B,C,B,A,D,C,D,A,B,D,B,D,D,A,A,A
2,10032205,B,C,A,D,A,A,D,C,C,B,C,C,B,A,C,D,C,D,C,B,A,D,C,C,A
3,10337029,D,D,C,C,B,D,D,D,A,C,A,B,B,C,C,B,D,D,C,D,D,D,A,A,B
4,10073466,B,A,A,D,A,A,D,C,D,B,B,B,A,D,C,C,A,C,B,C,D,B,C,C,D
5,10098201,B,A,B,D,B,B,D,B,C,B,C,B,A,B,C,B,D,C,D,A,A,B,D,C,D
6,10107910,B,A,C,A,D,C,A,C,C,C,C,B,A,A,B,D,A,C,A,B,D,A,B,D,B
7,10199028,B,A,B,B,A,A,D,D,C,C,C,A,A,B,C,B,B,C,D,B,D,D,D,B,B
8,10031005,B,D,B,D,A,D,B,C,B,D,D,B,A,A,D,D,C,D,D,C,D,B,D,D,D
9,10105835,B,A,B,D,C,B,D,C,C,B,C,B,B,A,C,B,B,C,B,B,D,B,C,C,D
10,10069995,B,A,A,A,A,A,A,C,C,B,B,D,A,C,C,B,B,B,D,C,D,B,A,B,B
11,10105485,B,A,B,D,A,A,D,C,D,B,C,C,C,D,C,B,A,C,D,B,D,B,D,B,A
12,10502864,B,A,A,D,A,A,D,C,A,A,A,A,A,A,A,B,A,D,B,D,A,C,A,C,B
13,10031811,B,A,A,D,A,A,D,C,A,B,D,B,A,A,C,D,B,C,D,C,D,D,D,C,B
14,10023817,A,C,D,D,B,B,B,C,D,B,A,D,B,A,B,A,D,D,B,C,A,A,D,C,D
15,10072625,B,A,C,D,A,B,B,C,B,B,D,B,D,D,C,C,B,C,D,C,D,C,D,B,D
16,10665420,A,B,D,D,A,C,D,A,B,C,C,D,D,B,C,B,A,C,B,B,C,A,D,C,A
