CODIGO	NOMBRE	DEPARTAMENTO	MATRICULA TOTAL	Inicial 1	Inicial 2	Inicial 3	Parvularia 4	Parvularia 5	Parvularia 6	Primer Grado	Segundo Grado	Tercer Grado	Cuarto Grado	Quinto Grado	Sexto Grado	SÇptimo Grado	Octavo Grado	Noveno Grado	Primer A§o	Segundo A§o	Tercer A§o	Primer Grado - A§o 1	Primer Grado - A§o 2	Segundo Grado - A§o 1	Segundo Grado - A§o 2	Tercer Grado - A§o 1	Tercer Grado - A§o 2	Cuarto Grado - A§o 1	Cuarto Grado - A§o 2	Laboral Inicial A§o 1	Laboral Inicial A§o 2	Especializaci¢n Laboral A§o 1	Especializaci¢n Laboral A§o 2	Especializaci¢n Laboral A§o 3
10001	"CENTRO ESCOLAR  ""ISIDRO MENêNDEZ"""	AHUACHAPµN	1172							137	120	139	118	131	123	135	135	134																
10002	"CENTRO ESCOLAR ""ALFREDO ESPINO"""	AHUACHAPµN	583				15	25	56	56	59	55	61	53	61	57	51	34																
10004	"CENTRO ESCOLAR ""1¯ DE JULIO DE 1823"""	AHUACHAPµN	655					14	32	39	53	82	74	69	73	65	80	74																
10005	INSTITUTO NACIONAL DE SANTA RITA	CHALATENANGO	64																37	27														
10006	"CENTRO ESCOLAR ""RICARDO TRIGUEROS DE LE‡N"""	AHUACHAPµN	433				5	16	34	37	34	48	54	42	34	44	62	23																
10007	"CENTRO ESCOLAR ""CARLOTA LE‡N VIUDA DE TRIGUEROS"""	AHUACHAPµN	263				3	17	18	23	26	30	28	26	17	28	30	17																
10008	"ESCUELA DE EDUCACI‡N PARVULARIA ""MAR÷A SALAZAR VIUDA DE MAGA•A"""	AHUACHAPµN	414				65	167	182																									
10010	"CENTRO ESCOLAR ""CASERIO PUERTAS NEGRAS"""	AHUACHAPµN	47				5	4	4	7	8	2	6	8	3																			
10011	"CENTRO ESCOLAR ""CANTON LOS HUATALES"""	AHUACHAPµN	325				2	28	39	28	34	34	48	34	26	30	22																	
10012	"CENTRO ESCOLAR ""BERNARDINO E. ZAMORA"""	AHUACHAPµN	314				1	12	28	36	31	38	31	31	31	34	24	17																
10013	"COMPLEJO EDUCATIVO ""GENERAL FABIO MORµN"""	AHUACHAPµN	781				10	25	38	43	56	30	56	39	61	57	44	45	124	110	43													
10014	"COMPLEJO EDUCATIVO ""ISABEL CARRILLO DE BOLA•OS"""	AHUACHAPµN	432				6	14	21	29	27	34	43	34	31	34	37	41	53	28														
10015	"CENTRO ESCOLAR ""PROFESOR RICARDO ARGUETA LINARES"""	AHUACHAPµN	635				11	54	46	48	47	72	81	54	55	61	68	38																
10016	"CENTRO ESCOLAR ""CANTON EL ROBLE"""	AHUACHAPµN	267				8	22	34	25	17	21	25	28	25	19	24	19																
10017	"CENTRO ESCOLAR ""CANTON EL JUNQUILLO"""	AHUACHAPµN	237				4	21	24	10	25	24	25	24	14	22	28	16																
10018	"CENTRO ESCOLAR ""COLONIA LA PISTA"""	USULUTµN	20				5	3	4		3	1	1	3																				
10019	"CENTRO ESCOLAR ""CANTON ASHAPUCO"""	AHUACHAPµN	281				13	12	35	21	19	33	40	30	21	20	17	20																
10021	"CENTRO ESCOLAR ""CANTON SUNTECUMAT"""	AHUACHAPµN	64				3	15	2	6	11	5	4	6	12																			
10022	"CENTRO ESCOLAR ""CANT‡N LOS MAGUEYES"""	AHUACHAPµN	1060					44	94	90	97	121	109	91	109	102	100	103																
10023	"CENTRO ESCOLAR ""DOCTOR RENE VIRGILIO CORNEJO GRANADOS"""	AHUACHAPµN	753				28	46	58	67	61	64	86	72	79	80	59	53																
10024	"CENTRO ESCOLAR ""CANTON PALO PIQUE"""	AHUACHAPµN	240				3	29	15	20	20	22	21	25	23	26	18	18																
10025	COMPLEJO EDUCATIVO CANT‡N R÷O FR÷O	AHUACHAPµN	440				7	14	34	33	27	19	36	34	27	27	43	57	40	42														
10026	"CENTRO ESCOLAR ""ABELINA ARRIAZA"""	AHUACHAPµN	101				6	10	9	7	9	10	5	5	12	8	11	9																
10027	"COMPLEJO EDUCATIVO ""DOCTOR RAFAEL MEZA DELGADO"""	AHUACHAPµN	366				4	16	20	17	27	22	30	23	25	27	40	45	33	37														
10029	"CENTRO ESCOLAR ""CASERIO EL BOTADERO, CANTON EL ROBLE"""	AHUACHAPµN	53				5	3	3	6	7	6	10	4	9																			
10031	"COMPLEJO EDUCATIVO ""DOCTOR ARTURO ROMERO"""	AHUACHAPµN	1886					57	122	140	127	156	198	180	166	167	156	154	120	92	51													
10032	"CENTRO ESCOLAR ""CANTON SANTA ROSA ACACALCO"""	AHUACHAPµN	228				5	11	23	16	19	16	28	24	24	22	21	19																
10033	COMPLEJO EDUCATIVO  HACIENDA LA LABOR	AHUACHAPµN	808				16	33	51	69	65	82	59	56	75	58	57	61	58	50	18													
10035	"CENTRO ESCOLAR ""HERMANO FRANCISCO RIVAT"""	LA LIBERTAD	350				18	27	33	30	34	31	36	24	33	35	31	18																
10037	"CENTRO ESCOLAR ""CASERIO LAS CHINITAS, C. LLANO DE LA LAGUNA"""	AHUACHAPµN	458				10	21	40	38	35	26	58	36	48	55	47	44																
10038	"CENTRO ESCOLAR ""COLONIA SANTA MARIA"""	AHUACHAPµN	661				5	16	42	60	53	59	80	72	66	82	61	65																
10039	"CENTRO ESCOLAR ""CANTON LA DANTA"""	AHUACHAPµN	278				14	12	20	31	25	39	27	22	28	21	19	20																
10041	"CENTRO ESCOLAR ""COLONIA SAN GENARO"""	SONSONATE	81				11	9	14	9	6	10	8	6	8																			
10042	"CENTRO ESCOLAR ""CANTON SAN LAZARO"""	AHUACHAPµN	200				4	15	18	16	22	21	15	19	28	17	11	14																
10044	"CENTRO ESCOLAR ""CASERIO  RANCHO GRANDE, CANTON EL JUNQUILLO"""	AHUACHAPµN	52				9	11	8	7	2	7	2	3	3																			
10045	"CENTRO ESCOLAR ""HACIENDA ZACAMIL"""	AHUACHAPµN	116				7	6	9	10	13	8	22	10	9	11	5	6																
10047	"ESCUELA DE EDUCACION ESPECIAL ""DE AHUACHAPAN"""	AHUACHAPµN	87					2	7					5	4							5	8	5	1	16	10	5	6	6	1	3	1	2
10048	"CENTRO ESCOLAR ""COLONIA LAS VICTORIAS"""	AHUACHAPµN	184				6	24	25	25	27	26	17	19	15																			
10049	"INSTITUTO NACIONAL ""SAN MIGUEL DE MERCEDES"""	CHALATENANGO	42																22	20														
10050	"CENTRO ESCOLAR ""NUEVO LOURDES"""	LA LIBERTAD	891					34	39	67	73	88	124	104	91	88	79	104																
10051	"COMPLEJO EDUCATIVO  ""RESIDENCIAL LA PRADERA II"""	SAN MIGUEL	576				23	34	45	61	49	49	56	60	46	64	42	35	12															
10052	"COMPLEJO EDUCATIVO ""ALEJANDRO DE HUMBOLDT"""	AHUACHAPµN	2570				17	41	73	86	109	114	110	109	132	126	124	112	600	533	284													
10053	"INSTITUTO NACIONAL ""LUIS REYNALDO TOBAR"""	AHUACHAPµN	242																101	113	28													
10056	"ESCUELA DE EDUCACION PARVULARIA ""DE APANECA"""	AHUACHAPµN	155				27	59	69																									
10057	"CENTRO ESCOLAR ""CIUDAD CREDISA"""	SAN SALVADOR	650				25	45	43	34	50	61	60	67	58	75	69	63																
10058	"INSTITUTO NACIONAL ""DE SACACOYO"""	LA LIBERTAD	104																44	46	14													
10059	INSTITUTO NACIONAL CANT‡N CARA SUCIA	AHUACHAPµN	398																189	158	51													
10060	"INSTITUTO NACIONAL ""LICENCIADO JOSê DANIEL CAR÷AS"""	AHUACHAPµN	154																86	68														
10061	"CENTRO ESCOLAR ""GENERAL FRANCISCO MENêNDEZ"""	AHUACHAPµN	563							53	54	53	65	60	58	75	78	67																
10062	COMPLEJO EDUCATIVO CANT‡N IZCAQUILIO	AHUACHAPµN	579				8	35	42	37	32	60	64	58	53	53	41	45	23	28														
10063	"CENTRO ESCOLAR ""CANTON EL SALITRERO"""	AHUACHAPµN	284				4	16	24	31	30	40	31	19	19	25	23	22																
10064	"CENTRO ESCOLAR ""LOMAS DE ALARCON"""	AHUACHAPµN	302				3	12	22	18	29	31	34	26	21	36	34	36																
10065	"INSTITUTO NACIONAL ""COLONIA VALLE DEL SOL"""	SAN SALVADOR	414													90	89	83	69	52	31													
10066	"CENTRO ESCOLAR ""CANTON RINCON GRANDE"""	AHUACHAPµN	117				8	5	9	6	11	9	16	11	11	15	8	8																
10067	"CENTRO ESCOLAR ""CANTON SAN JUAN EL ESPINO"""	AHUACHAPµN	161					7	13	11	16	14	16	16	16	28	9	15																
10068	"CENTRO ESCOLAR ""VISTA AL LAGO"""	SAN SALVADOR	301				16	15	24	27	29	20	27	32	21	35	29	26																
10069	"CENTRO ESCOLAR ""FRAY MARTIN DE PORRES"""	AHUACHAPµN	20							1	2	5	2	8	2																			
10070	"CENTRO ESCOLAR ""CASERIO EL JICARO, CANTON ZUNCA"""	AHUACHAPµN	83				8	3	9	9	10	14	12	13	5																			
10071	"CENTRO ESCOLAR ""CANTON EL TORTUGUERO"""	AHUACHAPµN	124				7	14	12	14	15	16	14	16	16																			
10072	"ESCUELA DE EDUCACION ESPECIAL ""DE ATIQUIZAYA"""	AHUACHAPµN	48						2						3							5		11		8		10		3		6		
